label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2,8-320-0,8-320-1
8-302,25.7877,6.037395,15.8489,13.42702,10.6101,100.0,100.0
8-302,19.95576,6.037395,15.8489,13.42702,10.6101,100.0,100.0
8-302,19.95576,6.037395,14.98715,13.42702,10.6101,100.0,100.0
8-302,19.95576,7.029244,14.98715,13.42702,10.6101,100.0,100.0
8-302,14.12876,7.029244,14.98715,13.42702,10.6101,100.0,100.0
8-302,14.12876,7.029244,14.98715,13.42702,9.809044,100.0,100.0
8-302,14.12876,7.029244,14.187866666666666,13.42702,9.809044,100.0,100.0
8-302,18.58668,7.995984999999999,14.187866666666666,22.3872,9.456254999999999,100.0,100.0
8-302,18.58668,7.995984999999999,14.187866666666666,28.54426666666667,9.456254999999999,100.0,100.0
8-302,18.58668,7.07946,13.35735,17.801935,8.91251,100.0,100.0
8-302,18.58668,7.65534,13.35735,17.801935,8.91251,100.0,100.0
8-302,18.58668,7.65534,13.35735,17.801935,9.637503333333333,100.0,100.0
8-302,18.58668,7.65534,12.288775000000001,17.801935,9.637503333333333,100.0,100.0
8-302,30.325100000000003,7.65534,12.288775000000001,17.801935,9.637503333333333,100.0,100.0
8-302,33.565039999999996,5.2275849999999995,11.676566666666666,17.801935,9.637503333333333,100.0,100.0
8-302,33.565039999999996,5.2275849999999995,11.676566666666666,18.518823333333334,9.637503333333333,100.0,100.0
8-302,33.565039999999996,5.2275849999999995,12.6561,18.518823333333334,9.637503333333333,100.0,100.0
8-302,39.15125,5.2275849999999995,12.6728,18.518823333333334,10.6101,100.0,100.0
8-302,39.15125,5.2275849999999995,12.6728,13.767555000000002,10.6101,100.0,100.0
8-302,28.467025,5.2275849999999995,12.6728,13.767555000000002,10.6101,100.0,100.0
8-302,22.787020000000002,5.2275849999999995,12.6728,10.196506000000001,10.6101,100.0,100.0
8-302,22.787020000000002,5.2275849999999995,12.6728,10.196506000000001,10.48808,100.0,100.0
8-302,22.787020000000002,5.2275849999999995,12.929920000000001,10.196506000000001,10.48808,100.0,100.0
8-302,22.787020000000002,5.768577499999999,12.929920000000001,10.196506000000001,10.48808,100.0,100.0
8-302,22.787020000000002,5.768577499999999,12.929920000000001,11.822521666666667,10.48808,100.0,100.0
8-302,25.525533333333332,5.043676666666666,13.35735,13.390812,10.6101,100.0,100.0
8-302,25.525533333333332,5.043676666666666,12.34888,13.390812,10.6101,100.0,100.0
8-302,25.525533333333332,5.043676666666666,12.34888,13.390812,10.73212,100.0,100.0
8-302,25.525533333333332,6.203518,12.34888,13.390812,10.73212,100.0,100.0
8-302,26.135100000000005,7.126424999999999,11.90475,11.750365,10.73212,100.0,100.0
8-302,27.805560000000003,7.126424999999999,11.90475,19.9526,10.48808,100.0,100.0
8-302,27.805560000000003,7.126424999999999,13.015075,19.9526,10.48808,100.0,100.0
8-302,31.4242,7.94328,13.157000000000002,100.0,10.6101,100.0,100.0
8-302,31.4242,7.94328,13.157000000000002,100.0,10.73212,100.0,100.0
8-302,31.4242,7.94328,13.157000000000002,22.3872,10.73212,100.0,100.0
8-302,25.16056,100.0,14.1254,22.3872,10.6101,100.0,100.0
8-302,27.005000000000003,100.0,14.1254,13.184135,10.6101,100.0,100.0
8-302,27.005000000000003,100.0,14.1254,13.184135,10.48808,100.0,100.0
8-302,27.005000000000003,100.0,15.2744,13.184135,10.48808,100.0,100.0
8-302,27.005000000000003,2.81838,15.2744,13.184135,10.48808,100.0,100.0
8-302,27.005000000000003,2.81838,15.8489,13.184135,9.809044,100.0,100.0
8-302,27.005000000000003,2.81838,15.8489,13.184135,9.809044,100.0,100.0
8-302,22.3872,2.81838,15.8489,18.072956666666666,9.456254999999999,100.0,100.0
8-302,16.879333333333335,2.81838,15.8489,18.072956666666666,9.456254999999999,100.0,100.0
8-302,13.35735,2.81838,15.8489,18.072956666666666,9.456254999999999,100.0,100.0
8-302,13.35735,2.81838,15.8489,18.072956666666666,9.7281275,100.0,100.0
8-302,13.35735,2.81838,13.675833333333335,18.072956666666666,9.7281275,100.0,100.0
8-302,11.860800000000001,2.81838,12.5893,25.1189,9.637503333333333,100.0,100.0
8-302,11.860800000000001,2.81838,12.5893,20.228166666666667,9.637503333333333,100.0,100.0
8-302,11.860800000000001,100.0,12.5893,13.729328,10.0,100.0,100.0
8-302,11.860800000000001,100.0,12.5893,13.729328,11.29465,100.0,100.0
8-302,16.15875,100.0,12.5893,13.729328,11.29465,100.0,100.0
8-302,16.56542,100.0,12.5893,10.881935,11.035720000000001,100.0,100.0
8-302,16.56542,100.0,14.762366666666667,10.881935,11.035720000000001,100.0,100.0
8-302,21.96995714285714,100.0,14.762366666666667,10.881935,11.035720000000001,100.0,100.0
8-302,21.948685714285716,100.0,15.8489,10.881935,11.29465,100.0,100.0
8-302,21.948685714285716,100.0,15.8489,16.6345675,11.29465,100.0,100.0
8-302,21.948685714285716,100.0,14.219100000000001,16.6345675,11.29465,100.0,100.0
8-302,21.948685714285716,100.0,14.219100000000001,16.6345675,10.51786,100.0,100.0
8-302,23.940133333333335,7.94328,14.219100000000001,16.251823333333334,10.51786,100.0,100.0
8-302,16.810936666666667,7.94328,14.219100000000001,16.251823333333334,10.51786,100.0,100.0
8-302,16.810936666666667,7.94328,30.69914,16.251823333333334,10.51786,100.0,100.0
8-302,15.149344,7.94328,26.456214285714285,22.3872,10.0,100.0,100.0
8-302,15.149344,7.94328,26.456214285714285,22.3872,10.0,100.0,100.0
8-302,15.149344,5.38083,26.456214285714285,22.3872,10.0,100.0,100.0
8-302,16.037386666666666,5.38083,26.456214285714285,22.3872,10.0,100.0,100.0
8-302,12.148604,5.38083,30.44612857142857,22.3872,10.0,100.0,100.0
8-302,12.148604,5.38083,30.44612857142857,20.764133333333334,10.0,100.0,100.0
8-302,12.148604,5.38083,30.44612857142857,20.764133333333334,10.48808,100.0,100.0
8-302,12.148604,9.055568,30.44612857142857,20.764133333333334,10.48808,100.0,100.0
8-302,21.908651666666668,9.055568,30.44612857142857,20.764133333333334,10.48808,100.0,100.0
8-302,24.046342,9.055568,33.422266666666665,19.9526,10.053083999999998,100.0,100.0
8-302,21.137201666666666,9.055568,33.422266666666665,19.9526,10.053083999999998,100.0,100.0
8-302,21.137201666666666,10.40991,33.422266666666665,19.9526,10.053083999999998,100.0,100.0
8-302,21.137201666666666,10.40991,33.422266666666665,21.1699,10.053083999999998,100.0,100.0
8-302,23.58214,9.394714285714286,22.016350000000003,21.1699,10.053083999999998,100.0,100.0
8-302,20.05015714285714,9.394714285714286,22.016350000000003,21.1699,10.053083999999998,100.0,100.0
8-302,20.05015714285714,9.394714285714286,22.016350000000003,21.1699,10.037917142857141,100.0,100.0
8-302,20.05015714285714,9.394714285714286,18.070875,21.1699,10.037917142857141,100.0,100.0
8-302,20.05015714285714,9.394714285714286,18.070875,20.05852,10.037917142857141,100.0,100.0
8-302,17.179585714285714,10.49077,18.811533333333333,20.05852,10.044236666666666,100.0,100.0
8-302,17.179585714285714,8.530694285714286,18.811533333333333,20.05852,10.044236666666666,100.0,100.0
8-302,17.179585714285714,8.530694285714286,18.811533333333333,20.05852,9.863602857142856,100.0,100.0
8-302,18.040633333333332,7.310993333333333,14.1254,20.085,9.637503333333333,100.0,100.0
8-302,19.40472,5.96649,14.1254,17.7828,10.0,100.0,100.0
8-302,19.40472,5.96649,14.1254,20.8524,10.0,100.0,100.0
8-302,21.579766666666668,5.96649,14.1254,20.8524,10.0,100.0,100.0
8-302,21.579766666666668,6.522975000000001,14.1254,20.8524,10.0,100.0,100.0
8-302,21.579766666666668,6.522975000000001,14.1254,20.8524,9.456254999999999,100.0,100.0
8-302,23.65168,6.82283,15.8489,22.3872,9.275006666666666,100.0,100.0
8-302,23.65168,6.82283,15.8489,19.11805,9.275006666666666,100.0,100.0
8-302,27.350350000000002,6.82283,15.8489,19.11805,9.275006666666666,100.0,100.0
