label,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,160.678,100.0,300.0,63.51435,300.0,300.0,300.0,300.0,300.0
8-302,160.678,100.0,300.0,71.33778,300.0,300.0,300.0,300.0,300.0
8-302,160.678,120.627,300.0,71.33778,300.0,300.0,300.0,300.0,300.0
8-302,141.254,120.627,300.0,65.97952000000001,300.0,300.0,300.0,300.0,300.0
8-302,141.254,120.627,300.0,65.97952000000001,300.0,300.0,300.0,25.1189,300.0
8-302,141.254,141.254,300.0,64.25188,300.0,300.0,300.0,25.1189,300.0
8-302,165.63666666666666,141.254,300.0,64.25188,300.0,300.0,300.0,25.1189,300.0
8-302,177.828,300.0,300.0,101.73718,300.0,300.0,300.0,25.1189,300.0
8-302,177.828,300.0,300.0,101.73718,300.0,300.0,300.0,27.162166666666668,300.0
8-302,192.29333333333332,300.0,300.0,114.6418,300.0,300.0,300.0,28.1838,300.0
8-302,192.29333333333332,300.0,300.0,114.6418,300.0,300.0,300.0,26.65135,300.0
8-302,192.29333333333332,300.0,300.0,117.55452,300.0,300.0,300.0,26.65135,300.0
8-302,155.864,300.0,300.0,129.24450000000002,300.0,300.0,300.0,26.65135,300.0
8-302,120.43604,300.0,300.0,100.0,300.0,300.0,300.0,25.1189,300.0
8-302,120.43604,300.0,300.0,117.262,300.0,300.0,300.0,25.1189,300.0
8-302,120.43604,44.6684,300.0,117.262,300.0,300.0,300.0,25.1189,300.0
8-302,114.59717142857143,44.6684,300.0,117.262,300.0,300.0,300.0,25.1189,300.0
8-302,100.44236666666666,57.7315,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,95.5289142857143,57.7315,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,95.5289142857143,59.51956666666666,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,59.51956666666666,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,62.66291428571429,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,64.37885,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,89.59813999999999,64.37885,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,89.7164,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,87.42316,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,87.18664,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,85.24818,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,85.24818,63.0957,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,85.24818,47.57236666666666,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,83.58664285714285,47.57236666666666,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,82.66356666666667,39.8107,300.0,117.67840000000001,300.0,300.0,300.0,300.0,300.0
8-302,78.34935714285714,39.8107,300.0,117.67840000000001,300.0,300.0,300.0,300.0,300.0
8-302,78.34935714285714,39.8107,300.0,112.62742857142858,300.0,300.0,300.0,300.0,300.0
8-302,78.34935714285714,48.0224,300.0,112.62742857142858,300.0,300.0,300.0,300.0,300.0
8-302,76.5534,50.50326,300.0,112.69833333333334,300.0,300.0,300.0,300.0,300.0
8-302,76.5534,50.50326,300.0,112.69833333333334,300.0,300.0,300.0,300.0,300.0
8-302,75.1137,53.1764,300.0,109.1515,300.0,300.0,300.0,300.0,300.0
8-302,81.58207999999999,53.1764,300.0,109.1515,300.0,300.0,300.0,300.0,300.0
8-302,81.58207999999999,53.787940000000006,300.0,109.1515,300.0,300.0,300.0,300.0,300.0
8-302,81.58207999999999,54.48684285714286,300.0,109.1515,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,46.470414285714284,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,108.0382,46.470414285714284,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,108.0382,46.470414285714284,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,108.0382,55.94923333333333,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,109.97666,56.67805,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,109.97666,56.67805,300.0,156.9672,300.0,300.0,300.0,300.0,300.0
8-302,109.97666,53.786624999999994,300.0,156.9672,300.0,300.0,300.0,300.0,300.0
8-302,107.12618571428571,53.786624999999994,300.0,156.9672,300.0,300.0,300.0,300.0,300.0
8-302,99.67920000000001,52.9708,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,99.67920000000001,52.9708,300.0,162.35680000000002,300.0,300.0,300.0,300.0,300.0
8-302,99.67920000000001,42.3031,300.0,162.35680000000002,300.0,300.0,300.0,300.0,300.0
8-302,92.75006666666667,31.630360000000003,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,114.05888333333333,31.630360000000003,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,114.05888333333333,31.630360000000003,300.0,139.9742,300.0,300.0,300.0,300.0,300.0
8-302,110.5441625,31.630360000000003,300.0,139.9742,300.0,300.0,300.0,300.0,300.0
8-302,115.87136666666667,35.54026,300.0,135.34550000000002,300.0,300.0,300.0,300.0,300.0
8-302,115.87136666666667,35.54026,300.0,133.08020000000002,300.0,300.0,300.0,300.0,300.0
8-302,115.15758571428572,35.54026,300.0,133.08020000000002,300.0,300.0,300.0,300.0,300.0
8-302,115.15758571428572,35.52341428571429,300.0,133.08020000000002,300.0,300.0,300.0,300.0,300.0
8-302,115.15758571428572,35.52341428571429,300.0,152.06471428571427,300.0,300.0,300.0,300.0,300.0
8-302,113.8155,37.2575,300.0,150.994,300.0,300.0,300.0,300.0,300.0
8-302,113.8155,47.644485714285715,300.0,150.994,300.0,300.0,300.0,300.0,300.0
8-302,104.8808,51.845949999999995,300.0,170.39,300.0,300.0,300.0,300.0,300.0
8-302,106.101,51.845949999999995,300.0,155.822,300.0,300.0,300.0,300.0,300.0
8-302,106.101,63.8844625,300.0,155.822,300.0,300.0,300.0,300.0,300.0
8-302,104.8808,63.8844625,300.0,155.822,300.0,300.0,300.0,300.0,300.0
8-302,112.79760000000002,71.821,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,116.53914285714288,71.821,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,117.262,67.71495,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,117.262,67.71495,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,118.28228571428572,67.71495,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,118.28228571428572,74.85166666666667,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,76.1104,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,76.1104,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,71.77216666666666,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,53.86443333333333,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,92.84508,53.86443333333333,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,85.22608,42.74145,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,85.22608,35.76654,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,73.63817142857144,35.76654,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,73.63817142857144,33.60004285714286,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,64.92903333333332,28.56502857142857,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,59.868128571428564,28.56502857142857,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,59.868128571428564,27.19217777777778,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,50.65186666666667,27.7928,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,50.65186666666667,26.8806125,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,25.68525,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,25.68525,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,25.68525,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,42.75584285714285,25.68525,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,63.439071428571424,26.65135,300.0,141.254,300.0,300.0,300.0,300.0,300.0
