label,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,141.254,100.0,300.0,70.7946,300.0,300.0,300.0,300.0,300.0
8-302,141.254,100.0,300.0,75.1137,300.0,300.0,300.0,300.0,300.0
8-302,141.254,120.627,300.0,75.1137,300.0,300.0,300.0,300.0,300.0
8-302,141.254,141.254,300.0,64.77575,300.0,300.0,300.0,300.0,300.0
8-302,141.254,141.254,300.0,64.77575,300.0,300.0,300.0,25.1189,300.0
8-302,300.0,300.0,300.0,60.456649999999996,300.0,300.0,300.0,25.1189,300.0
8-302,177.828,300.0,300.0,60.456649999999996,300.0,300.0,300.0,25.1189,300.0
8-302,177.828,300.0,300.0,114.6418,300.0,300.0,300.0,300.0,300.0
8-302,177.828,300.0,300.0,114.6418,300.0,300.0,300.0,28.1838,300.0
8-302,199.526,300.0,300.0,158.489,300.0,300.0,300.0,28.1838,300.0
8-302,199.526,300.0,300.0,158.489,300.0,300.0,300.0,26.65135,300.0
8-302,199.526,300.0,300.0,129.24450000000002,300.0,300.0,300.0,26.65135,300.0
8-302,155.864,300.0,300.0,100.0,300.0,300.0,300.0,25.1189,300.0
8-302,100.66355,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,100.66355,300.0,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,100.66355,44.6684,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,100.44236666666666,44.6684,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,57.7315,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,92.75006666666667,57.7315,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,92.75006666666667,59.51956666666666,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,96.37503333333332,66.94515,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,65.66199999999999,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,100.0,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,89.7164,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,79.4328,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,89.1251,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,89.1251,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,300.0,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,300.0,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,39.8107,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,82.66356666666667,39.8107,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,79.4328,39.8107,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,76.5534,39.8107,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,76.5534,39.8107,300.0,112.69833333333334,300.0,300.0,300.0,300.0,300.0
8-302,76.5534,48.0224,300.0,112.69833333333334,300.0,300.0,300.0,300.0,300.0
8-302,70.7946,53.1764,300.0,106.101,300.0,300.0,300.0,300.0,300.0
8-302,75.1137,53.1764,300.0,106.101,300.0,300.0,300.0,300.0,300.0
8-302,79.4328,50.1187,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,50.1187,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,53.1764,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,84.27895000000001,54.19563333333334,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,89.1251,45.86236666666667,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,115.18955,45.86236666666667,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,115.18955,45.86236666666667,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,115.18955,56.67805,300.0,145.015,300.0,300.0,300.0,300.0,300.0
8-302,115.18955,56.82603333333333,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,115.18955,56.82603333333333,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,115.18955,53.786624999999994,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,110.12636666666667,52.9708,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,92.75006666666667,44.6684,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,92.75006666666667,44.6684,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,92.75006666666667,34.89365,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,89.1251,28.37085,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,123.80705,28.37085,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,123.80705,28.37085,300.0,135.34550000000002,300.0,300.0,300.0,300.0,300.0
8-302,115.87136666666667,28.37085,300.0,135.34550000000002,300.0,300.0,300.0,300.0,300.0
8-302,129.24450000000002,38.1456,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,129.24450000000002,38.1456,300.0,126.728,300.0,300.0,300.0,300.0,300.0
8-302,119.49633333333334,38.1456,300.0,126.728,300.0,300.0,300.0,300.0,300.0
8-302,119.49633333333334,37.2575,300.0,126.728,300.0,300.0,300.0,300.0,300.0
8-302,119.49633333333334,37.2575,300.0,150.994,300.0,300.0,300.0,300.0,300.0
8-302,104.06733333333334,40.07485,300.0,170.39,300.0,300.0,300.0,300.0,300.0
8-302,104.06733333333334,50.314766666666664,300.0,170.39,300.0,300.0,300.0,300.0,300.0
8-302,112.202,57.7315,300.0,199.526,300.0,300.0,300.0,300.0,300.0
8-302,112.202,57.7315,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,112.202,71.821,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,106.101,71.821,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,112.9465,72.3342,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,117.262,72.3342,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,125.893,63.0957,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,125.893,63.0957,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,63.0957,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,76.1104,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,76.1104,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,121.32933333333334,76.1104,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,71.77216666666666,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,125.893,42.74145,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,88.00585,42.74145,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,75.05935,22.3872,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,75.05935,28.93425,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,64.92903333333332,28.93425,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,64.92903333333332,28.6841,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,72.3342,29.594666666666665,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,61.49303333333333,29.594666666666665,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,61.49303333333333,27.7928,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,23.75305,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,25.22996666666667,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,26.65135,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,26.65135,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,39.8107,26.65135,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,43.2467,26.65135,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,67.37713333333333,25.1189,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,67.37713333333333,25.1189,300.0,159.541,300.0,300.0,300.0,300.0,300.0
8-302,67.37713333333333,25.1189,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,67.37713333333333,30.3001,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,60.485524999999996,30.3001,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,60.485524999999996,35.4813,300.0,177.828,300.0,300.0,300.0,19.9526,300.0
8-302,63.94113333333333,30.3001,300.0,177.828,300.0,300.0,300.0,19.9526,300.0
8-302,63.94113333333333,30.3001,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,56.826175,30.3001,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,38.36756666666667,25.1189,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,48.633875,25.1189,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,51.57493333333334,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,52.73972500000001,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,52.73972500000001,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,67.83345,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,71.6999,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,71.6999,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,71.26425,25.1189,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,71.26425,26.65135,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,63.0957,28.1838,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,63.0957,26.65135,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,81.54785,25.1189,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,81.54785,30.3001,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,81.54785,30.3001,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,100.0,45.857699999999994,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,45.857699999999994,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,94.56255,45.857699999999994,300.0,179.0075,300.0,300.0,300.0,300.0,300.0
8-302,89.1251,48.0224,300.0,199.526,300.0,300.0,300.0,300.0,300.0
8-302,100.66355,48.0224,300.0,199.526,300.0,300.0,300.0,300.0,300.0
8-302,96.8174,48.0224,300.0,199.526,300.0,300.0,300.0,300.0,300.0
8-302,93.58663333333334,39.8107,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,93.58663333333334,55.30265,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,93.58663333333334,55.30265,300.0,300.0,300.0,300.0,300.0,25.1189,300.0
8-302,89.7164,70.7946,300.0,300.0,300.0,300.0,300.0,25.1189,300.0
8-302,89.7164,57.7315,300.0,300.0,300.0,300.0,300.0,25.1189,300.0
8-302,89.7164,57.7315,300.0,177.828,300.0,300.0,300.0,25.1189,300.0
8-302,106.89559999999999,57.7315,300.0,177.828,300.0,300.0,300.0,25.1189,300.0
8-302,120.627,42.239549999999994,300.0,177.828,300.0,300.0,300.0,25.1189,300.0
8-302,120.627,42.239549999999994,300.0,229.83300000000003,300.0,300.0,300.0,25.1189,300.0
8-302,122.38233333333334,42.239549999999994,300.0,229.83300000000003,300.0,300.0,300.0,300.0,300.0
8-302,125.893,39.8107,300.0,229.83300000000003,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,39.8107,300.0,229.83300000000003,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,42.239549999999994,300.0,229.83300000000003,300.0,300.0,300.0,300.0,300.0
8-302,112.202,47.39355,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,145.015,47.39355,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,145.015,43.422799999999995,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,159.541,42.8,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,159.541,43.422799999999995,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,159.541,43.422799999999995,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,141.254,36.4261,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,141.254,30.934933333333333,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,133.5735,30.934933333333333,300.0,177.828,300.0,300.0,300.0,300.0,300.0
8-302,133.5735,30.934933333333333,300.0,177.828,300.0,300.0,300.0,14.1254,300.0
8-302,125.893,24.418433333333336,300.0,300.0,300.0,300.0,300.0,14.1254,300.0
8-302,112.9465,24.418433333333336,300.0,300.0,300.0,300.0,300.0,14.1254,300.0
8-302,112.9465,24.418433333333336,300.0,141.254,300.0,300.0,300.0,14.1254,300.0
8-302,100.0,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,112.9465,32.4648,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,112.9465,34.91343333333333,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,125.893,39.8107,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,125.893,41.42993333333333,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,41.42993333333333,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,38.97815,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,112.202,35.971333333333334,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,112.202,35.971333333333334,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,35.971333333333334,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,119.0475,35.848825,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,125.893,32.908966666666664,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,125.893,31.762633333333337,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,142.191,31.762633333333337,300.0,168.1585,300.0,300.0,300.0,300.0,300.0
8-302,158.489,28.1838,300.0,142.191,300.0,300.0,300.0,300.0,300.0
8-302,158.489,31.832549999999998,300.0,142.191,300.0,300.0,300.0,300.0,300.0
8-302,168.1585,31.832549999999998,300.0,142.191,300.0,300.0,300.0,300.0,300.0
8-302,229.83300000000003,35.4813,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,229.83300000000003,35.4813,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,14.98715,14.832500000000001,35.4813,38.61055,300.0,300.0,300.0,6.351435,300.0
8-302,18.3644,14.832500000000001,35.4813,38.61055,300.0,300.0,300.0,6.351435,300.0
8-302,18.3644,14.832500000000001,35.4813,38.61055,300.0,300.0,35.4813,6.351435,300.0
8-302,18.3644,18.170325000000002,35.4813,38.61055,300.0,300.0,35.4813,6.351435,300.0
8-302,18.3644,18.170325000000002,33.55205,38.61055,300.0,300.0,35.4813,6.351435,300.0
8-302,18.3644,18.170325000000002,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,16.920624999999998,18.170325000000002,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,17.277866666666668,17.82805,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,20.004350000000002,17.82805,33.55205,38.61055,300.0,300.0,35.4813,5.904913333333333,300.0
8-302,20.004350000000002,17.82805,33.55205,38.61055,300.0,300.0,35.4813,5.2192549999999995,300.0
8-302,22.32804,17.82805,33.55205,38.61055,300.0,300.0,35.4813,5.2192549999999995,300.0
8-302,24.3787,19.062266666666666,31.6228,63.0957,300.0,300.0,35.4813,4.7023575,300.0
8-302,21.285462,19.062266666666666,31.6228,63.0957,300.0,300.0,35.4813,4.7023575,300.0
8-302,21.285462,19.062266666666666,31.6228,53.88205,300.0,300.0,35.4813,4.7023575,300.0
8-302,21.285462,19.062266666666666,33.55205,53.88205,300.0,300.0,35.4813,4.7023575,300.0
8-302,21.285462,23.167025,33.55205,53.88205,300.0,300.0,35.4813,4.7023575,300.0
8-302,21.285462,24.17038,33.55205,53.88205,300.0,300.0,35.4813,4.7023575,300.0
8-302,21.285462,24.17038,33.55205,53.88205,300.0,300.0,35.4813,5.0238,300.0
8-302,19.22330333333333,24.17038,33.55205,53.88205,300.0,300.0,35.4813,5.0238,300.0
8-302,19.22330333333333,24.17038,35.63826666666667,44.6684,300.0,300.0,35.4813,5.0238,300.0
8-302,19.22330333333333,24.17038,35.63826666666667,42.239549999999994,300.0,300.0,35.4813,5.0238,300.0
8-302,19.22330333333333,24.17038,35.63826666666667,42.239549999999994,300.0,300.0,42.8,5.0238,300.0
8-302,19.22330333333333,24.83928333333333,35.63826666666667,42.239549999999994,300.0,300.0,42.8,5.0238,300.0
8-302,19.22330333333333,26.250580000000003,35.63826666666667,41.42993333333333,300.0,300.0,42.8,4.8738975,300.0
8-302,19.22330333333333,26.250580000000003,35.63826666666667,41.42993333333333,300.0,300.0,42.8,4.531574,300.0
8-302,19.22330333333333,26.250580000000003,34.6344,41.42993333333333,300.0,300.0,42.8,4.531574,300.0
8-302,16.703486666666667,26.250580000000003,34.6344,41.42993333333333,300.0,300.0,50.1187,4.531574,300.0
8-302,16.703486666666667,27.145950000000003,34.6344,41.42993333333333,300.0,300.0,50.1187,4.531574,300.0
8-302,19.30257,26.938380000000002,35.63826666666667,41.42993333333333,300.0,300.0,50.1187,4.4115,300.0
8-302,17.526324,30.867925,35.63826666666667,41.42993333333333,300.0,300.0,50.1187,5.60675,300.0
8-302,17.526324,30.867925,35.63826666666667,34.6038,300.0,300.0,50.1187,5.60675,300.0
8-302,17.526324,30.867925,51.7287,34.6038,300.0,300.0,50.1187,5.60675,300.0
8-302,17.526324,29.71812,51.7287,34.6038,300.0,300.0,50.1187,5.60675,300.0
8-302,17.526324,29.71812,51.7287,34.6038,300.0,300.0,47.39355,5.60675,300.0
8-302,18.336470000000002,29.71812,51.7287,34.6038,300.0,300.0,47.39355,5.60675,300.0
8-302,17.3708775,28.277325,57.144499999999994,31.24893333333333,300.0,300.0,47.39355,5.144352499999999,300.0
8-302,17.3708775,28.277325,54.02547499999999,31.24893333333333,300.0,300.0,47.39355,5.144352499999999,300.0
8-302,17.3708775,28.277325,54.02547499999999,35.966375,300.0,300.0,47.39355,5.144352499999999,300.0
8-302,20.190333333333335,28.3085,54.02547499999999,31.598180000000003,300.0,300.0,47.39355,4.7559466666666665,300.0
8-302,22.1887,28.3085,54.02547499999999,31.598180000000003,300.0,300.0,47.39355,4.7559466666666665,300.0
8-302,22.1887,28.3085,54.02547499999999,31.598180000000003,300.0,300.0,47.39355,4.4539925,300.0
8-302,22.1887,28.3085,58.763733333333334,29.54505,300.0,300.0,44.6684,4.4539925,300.0
8-302,19.75096,28.3085,58.763733333333334,29.54505,300.0,300.0,44.6684,4.4539925,300.0
8-302,19.75096,28.3085,58.763733333333334,33.65978,300.0,300.0,44.6684,4.4539925,300.0
8-302,19.75096,28.3085,58.763733333333334,33.65978,300.0,300.0,44.6684,4.19565,300.0
8-302,19.75096,28.3085,72.3342,28.522720000000003,300.0,300.0,44.6684,4.4539925,300.0
8-302,22.1887,26.65135,72.3342,28.522720000000003,300.0,300.0,44.6684,4.456562,300.0
8-302,22.1887,21.1009,72.3342,28.522720000000003,300.0,300.0,44.6684,4.456562,300.0
8-302,19.995,21.1009,72.3342,28.522720000000003,300.0,300.0,44.6684,4.456562,300.0
8-302,19.995,21.1009,60.0499,28.522720000000003,300.0,300.0,44.6684,4.456562,300.0
8-302,16.468,19.091900000000003,40.07485,32.12205,300.0,300.0,31.6228,3.5848825,300.0
8-302,14.5791275,19.091900000000003,40.07485,32.12205,300.0,300.0,31.6228,3.5848825,300.0
8-302,14.5791275,19.091900000000003,40.07485,32.12205,300.0,300.0,31.6228,3.7612740000000002,300.0
8-302,14.5791275,20.190333333333335,40.07485,32.12205,300.0,300.0,31.6228,3.7612740000000002,300.0
8-302,10.044236666666665,20.190333333333335,35.4813,26.123166666666666,300.0,300.0,31.6228,4.0319866666666675,300.0
8-302,12.521327499999998,20.190333333333335,35.4813,26.123166666666666,300.0,300.0,31.6228,4.0319866666666675,300.0
8-302,12.521327499999998,20.190333333333335,35.4813,26.123166666666666,300.0,300.0,31.6228,4.793855000000001,300.0
8-302,12.521327499999998,20.190333333333335,80.68715,26.123166666666666,300.0,300.0,31.6228,4.793855000000001,300.0
8-302,12.521327499999998,20.1309,80.68715,26.123166666666666,300.0,300.0,31.6228,4.793855000000001,300.0
8-302,13.36177,15.58495,80.68715,14.1254,300.0,300.0,31.6228,5.337713333333333,300.0
8-302,13.36177,15.58495,65.61853333333333,14.1254,300.0,300.0,31.6228,5.337713333333333,300.0
8-302,13.36177,15.58495,65.61853333333333,14.1254,300.0,300.0,31.6228,4.793855,300.0
8-302,13.36177,15.58495,65.61853333333333,14.1254,300.0,300.0,31.6228,4.39876,300.0
8-302,13.36177,16.024520000000003,65.61853333333333,14.1254,300.0,300.0,31.6228,4.39876,300.0
8-302,13.36177,16.024520000000003,65.61853333333333,14.1254,300.0,300.0,38.1456,4.39876,300.0
8-302,14.432555,17.53065,80.68715,14.1254,300.0,300.0,38.1456,4.7673060000000005,300.0
8-302,14.904670000000001,17.53065,80.68715,14.1254,300.0,300.0,38.1456,4.7673060000000005,300.0
8-302,14.904670000000001,17.53065,83.49980000000001,14.1254,300.0,300.0,38.1456,4.7673060000000005,300.0
8-302,13.6785025,17.53065,83.49980000000001,14.1254,300.0,300.0,38.1456,4.7673060000000005,300.0
8-302,13.6785025,17.53065,83.49980000000001,14.1254,300.0,300.0,38.1456,4.4424850000000005,300.0
8-302,13.6785025,17.53065,83.49980000000001,26.968049999999998,300.0,300.0,38.1456,4.4424850000000005,300.0
8-302,13.6785025,17.581080000000004,83.49980000000001,26.968049999999998,300.0,300.0,38.1456,4.4424850000000005,300.0
8-302,15.267166666666668,16.379550000000002,83.49980000000001,31.24893333333333,300.0,300.0,44.6684,4.437614,300.0
8-302,13.950375000000001,16.379550000000002,83.49980000000001,31.24893333333333,300.0,300.0,44.6684,4.437614,300.0
8-302,13.950375000000001,16.379550000000002,72.57752500000001,31.24893333333333,300.0,300.0,44.6684,4.437614,300.0
