label,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,149.81725,100.0,300.0,96.62138000000002,300.0,300.0,300.0,300.0,300.0
8-302,149.81725,100.0,300.0,93.75661666666667,300.0,300.0,300.0,300.0,300.0
8-302,149.81725,120.627,300.0,93.75661666666667,300.0,300.0,300.0,300.0,300.0
8-302,146.92666666666665,120.627,300.0,72.47173333333333,300.0,300.0,300.0,300.0,300.0
8-302,146.92666666666665,120.627,300.0,72.47173333333333,300.0,300.0,300.0,25.1189,300.0
8-302,170.39,120.627,300.0,65.47496,300.0,300.0,300.0,25.1189,300.0
8-302,172.86933333333332,120.627,300.0,65.47496,300.0,300.0,300.0,25.1189,300.0
8-302,159.541,120.627,300.0,85.92594,300.0,300.0,300.0,25.1189,300.0
8-302,159.541,120.627,300.0,85.92594,300.0,300.0,300.0,26.65135,300.0
8-302,172.86933333333332,141.254,300.0,89.708775,300.0,300.0,300.0,26.65135,300.0
8-302,172.86933333333332,141.254,300.0,89.708775,300.0,300.0,300.0,26.140533333333334,300.0
8-302,172.86933333333332,141.254,300.0,91.76702,300.0,300.0,300.0,26.140533333333334,300.0
8-302,163.18533333333335,300.0,300.0,94.85057499999999,300.0,300.0,300.0,26.140533333333334,300.0
8-302,144.670275,300.0,300.0,109.76119999999999,300.0,300.0,300.0,26.65135,300.0
8-302,144.670275,300.0,300.0,113.79415,300.0,300.0,300.0,26.65135,300.0
8-302,144.670275,44.6684,300.0,113.79415,300.0,300.0,300.0,26.65135,300.0
8-302,135.73622,44.6684,300.0,113.79415,300.0,300.0,300.0,26.65135,300.0
8-302,125.21327500000001,57.7315,300.0,128.12733333333335,300.0,300.0,300.0,26.65135,300.0
8-302,117.99564000000001,57.7315,300.0,128.12733333333335,300.0,300.0,300.0,26.65135,300.0
8-302,117.99564000000001,59.51956666666666,300.0,128.12733333333335,300.0,300.0,300.0,26.65135,300.0
8-302,114.99636666666667,59.51956666666666,300.0,112.9465,300.0,300.0,300.0,25.1189,300.0
8-302,114.99636666666667,60.413599999999995,300.0,112.9465,300.0,300.0,300.0,25.1189,300.0
8-302,98.09043999999999,60.950019999999995,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,94.98083333333334,60.950019999999995,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,91.53659999999999,61.307633333333335,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,91.13468333333333,61.307633333333335,300.0,125.893,300.0,300.0,300.0,300.0,300.0
8-302,89.42075,64.63548,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,89.36161999999999,64.63548,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,87.42316,63.0957,300.0,112.202,300.0,300.0,300.0,300.0,300.0
8-302,87.42316,63.0957,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,87.42316,57.27445,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,86.09143333333333,57.27445,300.0,119.0475,300.0,300.0,300.0,300.0,300.0
8-302,83.30972,55.33403333333333,300.0,116.76566666666668,300.0,300.0,300.0,300.0,300.0
8-302,81.22386666666667,55.33403333333333,300.0,116.76566666666668,300.0,300.0,300.0,300.0,300.0
8-302,81.22386666666667,55.33403333333333,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,81.22386666666667,55.55905,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,81.58207999999999,52.31479999999999,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,81.22386666666667,52.31479999999999,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,79.64362,48.72116666666667,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,81.22386666666667,48.72116666666667,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,81.22386666666667,50.5994,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,81.22386666666667,51.72634000000001,300.0,112.49980000000001,300.0,300.0,300.0,300.0,300.0
8-302,79.64362000000001,47.29176666666667,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,89.91201666666667,47.29176666666667,300.0,112.57425,300.0,300.0,300.0,300.0,300.0
8-302,89.91201666666667,47.29176666666667,300.0,125.625,300.0,300.0,300.0,300.0,300.0
8-302,89.91201666666667,53.26795714285715,300.0,125.625,300.0,300.0,300.0,300.0,300.0
8-302,93.94631999999999,55.510833333333345,300.0,125.55799999999999,300.0,300.0,300.0,300.0,300.0
8-302,93.94631999999999,55.510833333333345,300.0,132.1442,300.0,300.0,300.0,300.0,300.0
8-302,93.94631999999999,53.96191428571429,300.0,132.1442,300.0,300.0,300.0,300.0,300.0
8-302,94.95526666666666,53.96191428571429,300.0,132.1442,300.0,300.0,300.0,300.0,300.0
8-302,98.01035,53.58321666666668,300.0,149.50633333333334,300.0,300.0,300.0,300.0,300.0
8-302,98.01035,53.58321666666668,300.0,151.752,300.0,300.0,300.0,300.0,300.0
8-302,98.01035,49.51688571428572,300.0,151.752,300.0,300.0,300.0,300.0,300.0
8-302,101.72585999999998,46.87461428571429,300.0,151.752,300.0,300.0,300.0,300.0,300.0
8-302,111.18638333333332,46.87461428571429,300.0,151.752,300.0,300.0,300.0,300.0,300.0
8-302,111.18638333333332,46.87461428571429,300.0,143.842,300.0,300.0,300.0,300.0,300.0
8-302,109.58832857142856,46.87461428571429,300.0,143.842,300.0,300.0,300.0,300.0,300.0
8-302,112.99886666666667,43.38708333333333,300.0,151.752,300.0,300.0,300.0,300.0,300.0
8-302,112.99886666666667,43.38708333333333,300.0,149.6524,300.0,300.0,300.0,300.0,300.0
8-302,111.14188571428572,43.38708333333333,300.0,149.6524,300.0,300.0,300.0,300.0,300.0
8-302,111.14188571428572,42.25768571428571,300.0,149.6524,300.0,300.0,300.0,300.0,300.0
8-302,111.14188571428572,42.25768571428571,300.0,157.96466666666666,300.0,300.0,300.0,300.0,300.0
8-302,106.99159999999999,36.31196,300.0,153.99200000000002,300.0,300.0,300.0,300.0,300.0
8-302,106.99159999999999,42.059066666666666,300.0,153.99200000000002,300.0,300.0,300.0,300.0,300.0
8-302,111.96322,42.059066666666666,300.0,152.86775,300.0,300.0,300.0,300.0,300.0
8-302,111.96322,42.059066666666666,300.0,150.54500000000002,300.0,300.0,300.0,300.0,300.0
8-302,111.96322,50.33634285714286,300.0,150.54500000000002,300.0,300.0,300.0,300.0,300.0
8-302,109.96935,50.33634285714286,300.0,150.54500000000002,300.0,300.0,300.0,300.0,300.0
8-302,116.09733333333334,54.53925,300.0,148.559,300.0,300.0,300.0,300.0,300.0
8-302,117.4967142857143,54.53925,300.0,148.559,300.0,300.0,300.0,300.0,300.0
8-302,112.79760000000002,59.78473333333334,300.0,160.678,300.0,300.0,300.0,300.0,300.0
8-302,112.79760000000002,59.78473333333334,300.0,155.822,300.0,300.0,300.0,300.0,300.0
8-302,112.69833333333334,59.78473333333334,300.0,155.822,300.0,300.0,300.0,300.0,300.0
8-302,112.69833333333334,63.9762142857143,300.0,155.822,300.0,300.0,300.0,300.0,300.0
8-302,115.23800000000001,73.53676,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,117.01383333333335,73.53676,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,117.01383333333335,71.79658333333334,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,117.97619999999999,63.72868333333333,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,106.66661666666666,63.72868333333333,300.0,146.999,300.0,300.0,300.0,300.0,300.0
8-302,106.66661666666666,59.425925,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,106.66661666666666,54.637,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,97.80972857142856,54.637,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,97.80972857142856,50.22813333333334,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,86.57642000000001,46.6411,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,78.78213333333333,46.6411,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,78.78213333333333,43.6093625,300.0,149.8715,300.0,300.0,300.0,300.0,300.0
8-302,66.71691666666668,32.77568333333333,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,66.71691666666668,32.1197,300.0,158.489,300.0,300.0,300.0,300.0,300.0
8-302,54.8817,26.694442857142857,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8-302,54.8817,26.694442857142857,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,52.36986666666667,26.694442857142857,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,52.048271428571425,26.694442857142857,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,60.91731428571428,27.412316666666666,300.0,141.254,300.0,300.0,300.0,300.0,300.0
8-302,60.91731428571428,27.412316666666666,300.0,159.541,300.0,300.0,300.0,300.0,300.0
8-302,60.91731428571428,27.412316666666666,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,60.91731428571428,28.56502857142857,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,58.2789875,28.56502857142857,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,51.62488571428571,27.25802,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,51.62488571428571,26.9015,300.0,159.541,300.0,300.0,300.0,19.9526,300.0
8-302,51.62488571428571,26.9015,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
8-302,49.6069375,26.9015,300.0,153.44533333333334,300.0,300.0,300.0,19.9526,300.0
