label,ble_id,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,15070,6.952557055181522,5.437257064511752,10.0,4.299829237779604,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.437257064511752,10.0,4.282431374894298,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.678826885008686,10.0,4.282431374894298,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.678826885008686,10.0,4.209269610438073,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.678826885008686,10.0,4.209269610438073,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,6.90056078067093,5.678826885008686,10.0,4.089140015141887,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.007723433901927,5.678826885008686,10.0,4.089140015141887,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.257808313111812,5.678826885008686,10.0,4.141303064141966,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.257808313111812,5.678826885008686,10.0,4.141303064141966,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,7.257808313111812,5.678826885008686,10.0,4.194175903474919,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,7.257808313111812,5.678826885008686,10.0,4.194175903474919,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,7.257808313111812,5.678826885008686,10.0,4.229580267969462,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,7.059755899283093,5.9203967055056195,10.0,4.2575942021233395,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.850072833083965,10.0,10.0,4.273132237537233,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.850072833083965,10.0,10.0,4.341871711360833,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.850072833083965,4.354493789661794,10.0,4.341871711360833,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.731552025721626,4.354493789661794,10.0,4.341871711360833,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.731552025721626,4.660097180043593,10.0,4.484764883275858,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.618353709854451,4.660097180043593,10.0,4.484764883275858,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.618353709854451,4.7104111270133044,10.0,4.484764883275858,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.43972994363401,4.7104111270133044,10.0,4.616516311967785,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.43972994363401,4.73556810049816,10.0,4.616516311967785,10.0,10.0,10.0,4.339958599499587,10.0
