label,ble_id,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,15070,6.90056078067093,5.437257064511752,10.0,4.1421821061561594,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.90056078067093,5.437257064511752,10.0,4.15283409701848,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.90056078067093,5.678826885008686,10.0,4.15283409701848,10.0,10.0,10.0,10.0,10.0
8-302,15070,7.222106772870259,5.678826885008686,10.0,3.9830476372114436,10.0,10.0,10.0,10.0,10.0
8-302,15070,7.222106772870259,5.678826885008686,10.0,3.9830476372114436,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,6.891094395315087,5.678826885008686,10.0,4.036190569642162,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.110152894455002,5.678826885008686,10.0,4.036190569642162,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.110152894455002,5.9203967055056195,10.0,4.22034223004363,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.110152894455002,5.9203967055056195,10.0,4.22034223004363,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,7.441165272010174,10.0,10.0,4.228642286568918,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,7.441165272010174,10.0,10.0,4.228642286568918,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,7.441165272010174,10.0,10.0,4.273132237537233,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,7.115976400605763,10.0,10.0,4.440743308816067,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.690359979580315,10.0,10.0,4.616359664624062,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.690359979580315,10.0,10.0,4.616516311967785,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.690359979580315,4.354493789661794,10.0,4.616516311967785,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.582137183753304,4.354493789661794,10.0,4.616516311967785,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,6.582137183753304,4.660097180043593,10.0,4.511715848548704,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,6.476182173106357,4.660097180043593,10.0,4.511715848548704,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,6.476182173106357,4.7104111270133044,10.0,4.511715848548704,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,6.2170521022757255,4.7104111270133044,10.0,4.616829606655229,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.2170521022757255,4.73556810049816,10.0,4.616829606655229,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.154915463395422,4.750662284589073,10.0,4.616829606655229,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.093978656907666,4.750662284589073,10.0,4.616829606655229,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.053354119249161,4.84197133084726,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.053106122066515,4.84197133084726,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.053354119249161,4.811039020952727,10.0,4.511832132042138,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.053106122066515,4.811039020952727,10.0,4.511832132042138,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.951296780737607,4.811039020952727,10.0,4.511832132042138,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.951296780737607,4.811039020952727,10.0,4.564330869348684,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.951296780737607,4.608944182623121,10.0,4.564330869348684,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.931083710781413,4.608944182623121,10.0,4.564330869348684,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.951296780737607,4.5078967634583185,10.0,4.546831290246502,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.891244611119747,4.5078967634583185,10.0,4.546831290246502,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.891244611119747,4.5078967634583185,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.891244611119747,4.557805929911166,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.85096523127004,4.455941372718905,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.85081847120736,4.455941372718905,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.8004325563795565,4.455941372718905,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.85081847120736,4.455941372718905,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.85081847120736,4.506362095243394,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.85081847120736,4.536614528758087,10.0,4.511773990295421,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.851209831374507,4.419217690616681,10.0,4.476755451508818,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.1111809723596515,4.419217690616681,10.0,4.476755451508818,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.1111809723596515,4.419217690616681,10.0,4.590171029699958,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.1111809723596515,4.56248118770561,10.0,4.590171029699958,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.211512521827219,4.54345257268336,10.0,4.72112494815776,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.211512521827219,4.54345257268336,10.0,4.756122378373822,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.211512521827219,4.511959442179766,10.0,4.756122378373822,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.220703776716229,4.511959442179766,10.0,4.756122378373822,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.261129916628616,4.513262260740531,10.0,4.756122378373822,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.261129916628616,4.513262260740531,10.0,4.773621093481853,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.261129916628616,4.364013603159922,10.0,4.773621093481853,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.313321863156126,4.155544484093703,10.0,4.860884080628424,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.472366666267561,4.155544484093703,10.0,4.860884080628424,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.472366666267561,4.155544484093703,10.0,4.773621093481853,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.436550354601679,4.155544484093703,10.0,4.773621093481853,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.345641546458998,4.058911805430792,10.0,4.721355536551344,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.345641546458998,4.058911805430792,10.0,4.721414258641518,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.330946088094543,4.058911805430792,10.0,4.721414258641518,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.330946088094543,4.058373874650021,10.0,4.721414258641518,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.330946088094543,4.058373874650021,10.0,4.78402810825196,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.428288851914671,3.9843438958970774,10.0,4.773505825613462,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.428288851914671,4.18061523080274,10.0,4.773505825613462,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.522270532263696,4.327959925683723,10.0,4.755968687882635,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.522270532263696,4.327959925683723,10.0,4.747374122139986,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.522270532263696,4.512842782155061,10.0,4.747374122139986,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.469310185065412,4.512842782155061,10.0,4.747374122139986,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.414332883615602,4.633633473157533,10.0,4.825888118839269,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.466825363716666,4.633633473157533,10.0,4.825888118839269,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.519164505577764,4.892122611387916,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.519164505577764,4.892122611387916,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.508451336021599,4.892122611387916,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.508451336021599,4.969457823740384,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.519164505577763,4.970397137069132,10.0,4.756432696210009,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.550690661286394,4.970397137069132,10.0,4.756432696210009,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.550690661286394,4.9385255138458515,10.0,4.756432696210009,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.623996127539925,4.593710225892487,10.0,4.773853831858993,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.313321606455249,4.593710225892487,10.0,4.773853831858993,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.11762156507667,4.593710225892487,10.0,4.773853831858993,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.11762156507667,4.4862126110193765,10.0,4.773853831858993,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.870645996536403,4.4862126110193765,10.0,4.773853831858993,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.870645996536403,4.365633605730111,10.0,4.773853831858993,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.7219078312212694,3.944346851106913,10.0,4.826117238805947,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.517043516389645,3.944346851106913,10.0,4.826117238805947,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.517043516389645,3.8659497406748002,10.0,4.826117238805947,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.12120171097809,3.676931884619214,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.12120171097809,3.6912330003966427,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.133846258193476,3.7152006881870836,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.133846258193476,3.7152006881870836,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.04659425796741,3.7152006881870836,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.050599135325599,3.7152006881870836,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.125796190220585,3.618060849577945,10.0,4.721590424912041,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.125796190220585,3.618060849577945,10.0,4.826004094592711,10.0,10.0,10.0,10.0,10.0
8-302,15070,5.125796190220585,3.618060849577945,10.0,4.826004094592711,10.0,10.0,10.0,3.8592730919363585,10.0
