label,ble_id,8-302-0,8-302-1,8-303-0,8-303-1,8-320-0,8-320-1,8-322-0,8-322-1,8-417-0
8-302,15070,6.952557055181522,5.437257064511752,10.0,4.299829237779604,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.437257064511752,10.0,4.282431374894298,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.678826885008686,10.0,4.282431374894298,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.678826885008686,10.0,4.209269610438073,10.0,10.0,10.0,10.0,10.0
8-302,15070,6.952557055181522,5.678826885008686,10.0,4.209269610438073,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,6.952557055181522,5.678826885008686,10.0,4.194299733783324,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.027887922864201,5.678826885008686,10.0,4.194299733783324,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.027887922864201,5.678826885008686,10.0,4.264501678785837,10.0,10.0,10.0,4.241642392975584,10.0
8-302,15070,7.027887922864201,5.678826885008686,10.0,4.264501678785837,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,7.116802577206627,5.678826885008686,10.0,4.181262168099894,10.0,10.0,10.0,4.339958599499587,10.0
8-302,15070,7.116802577206627,5.678826885008686,10.0,4.181262168099894,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,7.116802577206627,5.678826885008686,10.0,4.206299937249037,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,7.1584285495115605,5.678826885008686,10.0,4.179202925041997,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.85827714553019,5.678826885008686,10.0,4.229580267969462,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.85827714553019,5.678826885008686,10.0,4.284901602067429,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.85827714553019,5.237382519893056,10.0,4.284901602067429,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.758142420653869,5.237382519893056,10.0,4.284901602067429,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.758142420653869,5.080197021864268,10.0,4.317466769545321,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.657316664920256,5.080197021864268,10.0,4.317466769545321,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.657316664920256,5.012907521636382,10.0,4.317466769545321,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.566798722199854,4.7104111270133044,10.0,4.341871711360833,10.0,10.0,10.0,4.307186530658253,10.0
8-302,15070,6.566798722199854,4.73556810049816,10.0,4.341871711360833,10.0,10.0,10.0,4.307186530658253,10.0
