label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2
8-303,79.4328,100.0,11.2202,4.648516666666667,10.0
8-303,100.0,100.0,100.0,4.46684,100.0
8-303,100.0,100.0,100.0,2.81838,100.0
8-303,100.0,100.0,100.0,2.81838,8.91251
8-303,100.0,100.0,100.0,4.220895,8.91251
8-303,100.0,25.1189,100.0,4.220895,8.91251
8-303,100.0,25.1189,14.1254,4.220895,8.91251
8-303,100.0,25.1189,14.1254,3.8680233333333334,8.91251
8-303,100.0,63.0957,100.0,3.16228,100.0
8-303,100.0,63.0957,100.0,4.3928449999999994,100.0
8-303,100.0,63.0957,100.0,4.3928449999999994,100.0
8-303,100.0,45.63975,100.0,5.62341,100.0
8-303,100.0,100.0,50.1187,100.0,100.0
8-303,100.0,100.0,50.1187,100.0,8.91251
8-303,100.0,100.0,50.1187,2.81838,8.91251
8-303,100.0,100.0,50.1187,4.220895,8.91251
8-303,100.0,100.0,31.354,4.220895,8.91251
8-303,100.0,100.0,31.354,4.220895,8.91251
8-303,100.0,100.0,12.5893,5.62341,8.91251
8-303,100.0,70.7946,12.5893,5.62341,8.91251
8-303,63.0957,70.7946,12.5893,5.62341,8.91251
8-303,63.0957,70.7946,50.1187,100.0,8.91251
8-303,63.0957,70.7946,50.1187,100.0,8.427895
8-303,63.0957,70.7946,50.1187,5.62341,8.427895
8-303,100.0,100.0,50.1187,5.96649,7.94328
8-303,100.0,100.0,100.0,6.30957,100.0
8-303,100.0,100.0,100.0,6.30957,10.0
8-303,100.0,100.0,100.0,2.81838,100.0
8-303,100.0,31.6228,100.0,2.81838,100.0
8-303,100.0,31.6228,100.0,2.81838,8.91251
8-303,100.0,31.6228,50.1187,2.81838,8.91251
8-303,100.0,31.6228,50.1187,3.6426100000000003,8.91251
8-303,100.0,31.6228,50.1187,3.6426100000000003,8.91251
8-303,100.0,31.6228,50.1187,4.09903,8.91251
8-303,100.0,35.71675,50.1187,4.09903,8.91251
8-303,100.0,39.8107,100.0,5.31764,100.0
8-303,100.0,39.8107,100.0,5.31764,22.3872
8-303,88.00585,39.8107,100.0,5.31764,22.3872
8-303,50.1187,100.0,12.5893,5.62341,22.3872
8-303,50.1187,100.0,12.5893,5.62341,15.649854999999999
8-303,50.1187,100.0,12.5893,5.62341,15.649854999999999
8-303,100.0,100.0,12.5893,100.0,9.456254999999999
8-303,100.0,100.0,12.5893,100.0,9.456254999999999
8-303,100.0,100.0,12.5893,100.0,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,9.456254999999999
8-303,100.0,100.0,12.5893,3.98107,8.91251
8-303,100.0,100.0,12.5893,3.98107,7.2679599999999995
8-303,100.0,100.0,12.5893,4.223955,7.2679599999999995
8-303,100.0,100.0,17.48825,4.223955,7.2679599999999995
8-303,100.0,100.0,100.0,100.0,100.0
8-303,100.0,100.0,100.0,100.0,3.16228
8-303,100.0,35.4813,100.0,100.0,3.16228
8-303,100.0,35.4813,12.5893,100.0,3.16228
8-303,100.0,35.4813,12.5893,100.0,3.3552049999999998
8-303,100.0,25.6651,12.5893,100.0,3.3552049999999998
8-303,100.0,25.6651,10.750905,100.0,3.3552049999999998
8-303,100.0,25.483033333333335,10.750905,100.0,3.3552049999999998
8-303,100.0,20.4839,8.91251,100.0,3.54813
8-303,100.0,20.4839,18.548155,100.0,3.54813
8-303,100.0,20.4839,18.548155,100.0,3.54813
8-303,100.0,25.1189,18.548155,100.0,4.92885
8-303,100.0,25.1189,16.561870000000003,100.0,4.92885
8-303,100.0,100.0,20.38655,2.51189,4.92885
8-303,100.0,100.0,20.38655,2.51189,4.92885
8-303,100.0,100.0,12.5893,2.51189,6.30957
8-303,100.0,100.0,12.5893,2.51189,100.0
8-303,100.0,100.0,12.5893,2.51189,7.94328
8-303,100.0,100.0,12.5893,5.2275849999999995,7.94328
8-303,100.0,100.0,12.5893,5.2275849999999995,7.94328
8-303,100.0,100.0,12.5893,5.2275849999999995,7.94328
8-303,100.0,100.0,12.5893,5.2275849999999995,5.38083
8-303,100.0,100.0,12.5893,7.94328,5.38083
8-303,100.0,100.0,12.5893,7.94328,5.38083
8-303,100.0,100.0,100.0,100.0,3.16228
8-303,100.0,100.0,100.0,100.0,3.16228
8-303,100.0,100.0,100.0,3.16228,3.16228
8-303,100.0,100.0,8.91251,3.16228,3.16228
