label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2
8-302,25.7877,3.16228,100.0,13.42702,11.2202
8-302,25.7877,6.037395,100.0,13.42702,11.2202
8-302,25.7877,6.037395,100.0,13.42702,10.6101
8-302,25.7877,6.037395,15.8489,13.42702,10.6101
8-302,17.039,6.037395,15.8489,13.42702,10.6101
8-302,17.039,6.037395,14.98715,13.42702,10.6101
8-302,17.039,6.38475,14.98715,13.42702,10.6101
8-302,12.6728,7.995984999999999,14.98715,22.3872,10.0
8-302,12.6728,7.995984999999999,14.98715,22.3872,9.456254999999999
8-302,12.6728,7.995984999999999,14.187866666666666,22.3872,9.456254999999999
8-302,17.843133333333334,7.07946,13.35735,100.0,8.91251
8-302,17.843133333333334,7.07946,13.35735,31.6228,8.91251
8-302,19.702,100.0,12.5893,17.801935,8.91251
8-302,19.702,7.94328,12.5893,17.801935,8.91251
8-302,19.702,7.94328,12.5893,17.801935,9.456254999999999
8-302,19.702,7.94328,11.90475,17.801935,9.456254999999999
8-302,29.8409,7.94328,11.90475,17.801935,9.456254999999999
8-302,39.15125,5.2275849999999995,11.2202,17.801935,10.0
8-302,39.15125,5.2275849999999995,11.2202,18.518823333333334,10.0
8-302,39.15125,5.2275849999999995,12.6728,18.518823333333334,10.0
8-302,50.1187,5.2275849999999995,12.6728,11.966835,10.6101
8-302,50.1187,5.2275849999999995,12.6728,9.1606,10.6101
8-302,33.95075,5.2275849999999995,12.6728,9.1606,10.6101
8-302,15.9541,2.51189,14.1254,11.750365,11.2202
8-302,15.9541,2.51189,14.1254,11.750365,10.6101
8-302,15.9541,2.51189,13.35735,11.750365,10.6101
8-302,15.9541,4.41073,13.35735,11.750365,10.6101
8-302,15.9541,4.41073,13.35735,14.484443333333333,10.6101
8-302,25.525533333333332,6.30957,12.5893,11.750365,10.6101
8-302,25.525533333333332,6.30957,11.90475,11.750365,10.6101
8-302,25.525533333333332,6.30957,11.90475,11.750365,10.813466666666665
8-302,25.525533333333332,7.126424999999999,11.90475,11.750365,10.813466666666665
8-302,25.525533333333332,7.126424999999999,11.90475,19.9526,10.6101
8-302,31.2256,7.94328,11.2202,100.0,10.6101
8-302,31.2256,7.94328,12.6728,100.0,10.6101
8-302,24.702800000000003,100.0,14.1254,100.0,10.0
8-302,24.702800000000003,100.0,14.1254,100.0,10.6101
8-302,24.702800000000003,100.0,14.1254,22.3872,10.6101
8-302,27.005000000000003,100.0,14.1254,22.3872,10.6101
8-302,27.005000000000003,100.0,100.0,13.184135,11.2202
8-302,27.005000000000003,100.0,100.0,13.184135,10.6101
8-302,27.005000000000003,100.0,15.8489,13.184135,10.6101
8-302,27.005000000000003,2.81838,15.8489,13.184135,10.6101
8-302,22.3872,2.81838,15.8489,3.98107,9.456254999999999
8-302,22.3872,2.81838,15.8489,3.98107,9.456254999999999
8-302,100.0,2.81838,15.8489,14.549985,9.456254999999999
8-302,14.1254,2.81838,15.8489,14.549985,9.456254999999999
8-302,13.35735,2.81838,100.0,25.1189,8.91251
8-302,13.35735,2.81838,100.0,25.1189,9.456254999999999
8-302,13.35735,2.81838,12.5893,25.1189,9.456254999999999
