label,ble_id,C0,C1,C2,C3
8-302,15070,-4.275184514701516,3.772751103820041,-0.11264321415836841,-0.47483822289503763
8-302,15070,-4.292088110815099,3.8035579610204904,-0.10563203228787298,-0.4788828931122642
8-302,15070,-4.296660077844259,3.81259464491103,-0.10196866896018507,-0.4782931233760852
8-302,15070,-4.325001083445313,3.824889266172968,-0.09194163813122656,-0.4726371921069905
8-302,15070,-4.31936078723871,3.813740985018927,-0.09646101767810021,-0.473364773033214
8-302,15070,-4.318133140336968,3.8136789204153305,-0.09675914091601466,-0.4736315686334285
8-302,15070,-4.317212405160662,3.8136323719626333,-0.09698273334445039,-0.47383166533358967
8-302,15070,-4.3863345411210055,3.847948282807736,-0.07126060143989198,-0.4602233231293531
8-302,15070,-4.341875884761754,3.760073890635985,-0.10688382668758155,-0.4659583535581895
8-302,15070,-4.317666357830314,3.764327052574661,-0.09180944085669583,-0.4502069591033968
8-302,15070,-4.286463933290736,3.7627495907592605,-0.09938667484907103,-0.45698795579827367
8-302,15070,-4.28776186371195,3.7453319406256105,-0.10414062582372384,-0.45590410246720037
8-302,15070,-4.275683009459935,3.7474539698297735,-0.09661956562682071,-0.44804526249795007
8-302,15070,-4.283374462255588,3.7478428169552496,-0.09475176405582285,-0.4463737348280423
8-302,15070,-4.2743254616753275,3.7299570891607194,-0.10200242370986755,-0.44754102817264974
8-302,15070,-4.286959328234412,3.730595803695628,-0.098934400485416,-0.44479540155405184
8-302,15070,-4.277900187545401,3.7321873255987503,-0.09329360533773888,-0.4389012715771141
8-302,15070,-4.312483406829337,3.7339357060108185,-0.08489537511714772,-0.43138555127258726
8-302,15070,-4.323139920635455,3.7356283912689765,-0.07678832674981949,-0.42342967292470934
8-302,15070,-4.280612820895169,3.6515718014722087,-0.1108638606781842,-0.4289155384688659
8-302,15070,-4.287094350041033,3.650433117798394,-0.11489967151395873,-0.43313260237663487
8-302,15070,-4.283571469140851,3.6434699964819184,-0.11772243742964171,-0.4335870432170523
8-302,15070,-4.248172090707849,3.5866084141346906,-0.1412324858349454,-0.43759712465079037
8-302,15070,-4.2449571829876795,3.587173213405263,-0.13923068053235688,-0.43550541588756086
8-302,15070,-4.244309196361432,3.585892440759846,-0.13974989041035646,-0.4355890041766215
8-302,15070,-4.254179108727092,3.586391421531626,-0.13735306911898593,-0.43344404768308475
8-302,15070,-4.23951371461975,3.5889678575028725,-0.12822146527715383,-0.42390233263537125
8-302,15070,-4.194543251281523,3.5286225609823583,-0.13710541946506782,-0.4102877740868913
8-302,15070,-4.1730194314557805,3.5275344082378943,-0.14233228954442656,-0.41496538979314357
8-302,15070,-4.1566078175994585,3.4856832288708186,-0.1582115741930552,-0.41665075985683053
8-302,15070,-4.158577377876892,3.485337213897803,-0.15943794724955063,-0.4179322107881194
8-302,15070,-4.12623573805814,3.4837021582053582,-0.16729182963913725,-0.42496078487984335
8-302,15070,-4.131074781654237,3.493266730091281,-0.16341446684584437,-0.42433656308497314
