label,id,timestamp,ble_id,place,proxi,detector,batt
8-302,395480221,1716271283,15159,8-303,70.7946,0,0
8-302,395480225,1716271284,15159,8-303,39.8107,2,0
8-302,395480227,1716271284,15155,8-302,31.6228,0,0
8-302,395480228,1716271284,15159,8-302,31.6228,0,0
8-302,395480229,1716271284,15158,8-302,7.94328,0,0
8-302,395480232,1716271285,15158,8-303,15.8489,1,0
8-302,395480233,1716271286,15158,8-302,2.81838,1,0
8-302,395480242,1716271291,15159,8-302,25.1189,0,0
8-302,395480244,1716271292,15155,8-303,4.46684,1,0
8-302,395480245,1716271292,15155,8-302,3.16228,1,0
8-302,395480246,1716271292,15159,8-302,11.2202,1,0
8-302,395480247,1716271292,15155,8-303,11.2202,2,0
8-302,395480248,1716271292,15159,8-303,56.2341,2,0
8-302,395480250,1716271293,15155,8-302,19.9526,0,0
8-302,395480251,1716271293,15158,8-302,5.62341,0,0
8-302,395480252,1716271293,15158,8-303,63.0957,0,0
8-302,395480253,1716271294,15158,8-303,17.7828,1,0
8-302,395480256,1716271296,15164,8-302,5.01187,1,0
8-302,395480259,1716271296,15164,8-303,10.0,2,0
8-302,395480260,1716271297,15164,8-302,28.1838,0,0
8-302,395480265,1716271299,15159,8-302,17.7828,0,0
8-302,395480268,1716271300,15155,8-303,22.3872,1,0
8-302,395480269,1716271300,15158,8-303,22.3872,1,0
8-302,395480270,1716271300,15155,8-302,8.91251,1,0
8-302,395480271,1716271300,15159,8-302,11.2202,1,0
8-302,395480272,1716271300,15158,8-302,7.07946,1,0
8-302,395480275,1716271301,15155,8-303,10.0,2,0
8-302,395480276,1716271301,15158,8-303,70.7946,2,0
8-302,395480277,1716271301,15158,8-302,5.62341,0,0
8-302,395480279,1716271301,15155,8-303,15.8489,0,0
8-302,395480280,1716271301,15158,8-303,70.7946,0,0
8-302,395480286,1716271305,15164,8-302,35.4813,1,0
8-302,395480288,1716271305,15164,8-303,10.0,2,0
8-302,395480291,1716271307,15159,8-302,11.2202,1,0
8-302,395480294,1716271307,15159,8-303,56.2341,2,0
8-302,395480295,1716271307,15155,8-302,14.1254,0,0
8-302,395480296,1716271307,15159,8-302,25.1189,0,0
8-302,395480297,1716271308,15155,8-303,14.1254,0,0
8-302,395480300,1716271309,15158,8-303,19.9526,1,0
8-302,395480302,1716271309,15155,8-302,7.07946,1,0
8-302,395480303,1716271309,15158,8-302,2.81838,1,0
8-302,395480305,1716271310,15158,8-303,25.1189,2,0
8-302,395480306,1716271310,15158,8-302,5.01187,0,0
8-302,395480314,1716271313,15164,8-320,79.4328,1,0
8-302,395480315,1716271314,15164,8-302,19.9526,0,0
8-302,395480318,1716271315,15159,8-302,7.94328,1,0
8-302,395480319,1716271316,15155,8-302,11.2202,0,0
8-302,395480320,1716271316,15159,8-302,50.1187,0,0
8-302,395480321,1716271316,15155,8-303,8.91251,2,0
8-302,395480322,1716271316,15155,8-303,12.5893,0,0
8-302,395480323,1716271316,15159,8-303,89.1251,0,0
8-302,395480324,1716271316,15158,8-303,70.7946,0,0
8-302,395480335,1716271322,15164,8-320,89.1251,1,0
8-302,395480336,1716271322,15159,8-303,89.1251,0,0
8-302,395480339,1716271324,15155,8-302,28.1838,0,0
8-302,395480340,1716271324,15158,8-302,5.62341,0,0
8-302,395480343,1716271325,15155,8-303,31.6228,1,0
8-302,395480344,1716271325,15158,8-303,28.1838,1,0
8-302,395480345,1716271326,15158,8-302,3.98107,1,0
8-302,395480347,1716271328,15164,8-302,50.1187,0,0
8-302,395480348,1716271329,15164,8-303,8.91251,2,0
8-302,395480350,1716271330,15164,8-303,10.0,1,0
8-302,395480352,1716271331,15159,8-302,22.3872,0,0
8-302,395480356,1716271332,15155,8-303,3.98107,1,0
8-302,395480358,1716271332,15155,8-302,7.94328,1,0
8-302,395480359,1716271333,15155,8-302,50.1187,0,0
8-302,395480360,1716271333,15158,8-302,5.62341,0,0
8-302,395480361,1716271333,15155,8-303,11.2202,0,0
8-302,395480363,1716271333,15158,8-303,44.6684,0,0
8-302,395480366,1716271333,15155,8-303,10.0,2,0
8-302,395480367,1716271334,15158,8-303,19.9526,1,0
8-302,395480375,1716271339,15159,8-302,35.4813,0,0
8-302,395480376,1716271339,15159,8-303,79.4328,0,0
8-302,395480380,1716271340,15155,8-302,2.51189,1,0
8-302,395480381,1716271340,15155,8-303,19.9526,1,0
8-302,395480382,1716271340,15158,8-302,2.81838,1,0
8-302,395480383,1716271341,15158,8-302,8.91251,0,0
8-302,395480385,1716271341,15155,8-303,14.1254,0,0
8-302,395480390,1716271344,15164,8-302,7.07946,1,0
8-302,395480392,1716271345,15164,8-303,19.9526,0,0
8-302,395480395,1716271346,15164,8-303,8.91251,2,0
8-302,395480397,1716271347,15159,8-302,12.5893,1,0
8-302,395480398,1716271347,15159,8-303,28.1838,1,0
8-302,395480402,1716271348,15155,8-303,11.2202,2,0
8-302,395480403,1716271348,15159,8-303,35.4813,2,0
8-302,395480405,1716271349,15158,8-302,3.98107,1,0
8-302,395480406,1716271349,15155,8-303,3.54813,1,0
8-302,395480407,1716271349,15158,8-303,19.9526,1,0
8-302,395480408,1716271349,15155,8-302,17.7828,0,0
8-302,395480413,1716271353,15164,8-303,8.91251,1,0
8-302,395480414,1716271353,15164,8-302,14.1254,0,0
8-302,395480419,1716271355,15155,8-302,14.1254,0,0
8-302,395480421,1716271356,15159,8-302,28.1838,0,0
8-302,395480422,1716271356,15155,8-303,12.5893,0,0
8-302,395480425,1716271356,15155,8-303,10.0,2,0
8-302,395480426,1716271357,15158,8-303,31.6228,2,0
8-302,395480427,1716271357,15155,8-302,6.30957,1,0
8-302,395480429,1716271357,15155,8-303,19.9526,1,0
8-302,395480430,1716271357,15158,8-303,15.8489,1,0
8-302,395480432,1716271358,15158,8-302,11.2202,0,0
8-302,395480438,1716271362,15164,8-303,10.0,1,0
8-302,395480440,1716271362,15164,8-302,22.3872,0,0
8-302,395480441,1716271362,15164,8-303,19.9526,0,0
8-302,395480444,1716271363,15159,8-303,63.0957,2,0
8-302,395480445,1716271363,15159,8-302,7.07946,1,0
8-302,395480448,1716271364,15155,8-302,44.6684,0,0
8-302,395480449,1716271364,15159,8-302,19.9526,0,0
8-302,395480450,1716271364,15155,8-303,11.2202,0,0
8-302,395480451,1716271364,15159,8-303,70.7946,0,0
8-302,395480454,1716271365,15155,8-303,11.2202,2,0
8-302,395480455,1716271365,15155,8-302,7.94328,1,0
8-302,395480457,1716271366,15158,8-303,22.3872,1,0
8-302,395480463,1716271368,15164,8-302,31.6228,0,0
8-302,395480466,1716271369,15164,8-303,10.0,2,0
8-302,395480467,1716271370,15164,8-302,39.8107,1,0
8-302,395480470,1716271370,15164,8-303,4.46684,1,0
8-302,395480475,1716271372,15155,8-302,17.7828,0,0
8-302,395480477,1716271372,15159,8-303,63.0957,0,0
8-302,395480484,1716271376,15164,8-302,44.6684,0,0
8-302,395480487,1716271378,15164,8-302,7.07946,1,0
8-302,395480489,1716271378,15164,8-303,39.8107,2,0
8-302,395480493,1716271380,15155,8-303,10.0,2,0
8-302,395480494,1716271380,15158,8-303,39.8107,2,0
8-302,395480497,1716271381,15158,8-302,11.2202,0,0
8-302,395480498,1716271381,15155,8-303,14.1254,0,0
8-302,395480499,1716271381,15158,8-303,39.8107,0,0
8-302,395480507,1716271385,15164,8-302,28.1838,0,0
8-302,395480509,1716271387,15159,8-302,28.1838,0,0
8-302,395480510,1716271387,15159,8-303,50.1187,0,0
8-302,395480511,1716271388,15158,8-302,2.81838,1,0
