label,id,timestamp,ble_id,place,proxi,detector,batt
8-320,401422120,1717996931,15164,8-320,3.98107,1,0
8-320,401422128,1717996934,15162,8-320,39.8107,0,0
8-320,401422129,1717996934,15162,8-322,28.1838,0,0
8-320,401422131,1717996934,15162,8-303,19.9526,1,0
8-320,401422133,1717996934,15155,8-417,5.01187,0,0
8-320,401422134,1717996935,15162,8-322,1.99526,1,0
8-320,401422136,1717996935,15163,8-322,3.54813,1,0
8-320,401422138,1717996935,15155,8-320,7.94328,1,0
8-320,401422141,1717996936,15153,8-320,31.6228,0,0
8-320,401422142,1717996936,15158,8-322,89.1251,0,2906
8-320,401422143,1717996936,15158,8-320,63.0957,0,2906
8-320,401422145,1717996936,15163,8-303,89.1251,1,0
8-320,401422149,1717996938,15158,8-320,79.4328,1,2906
8-320,401422152,1717996938,15164,8-322,35.4813,0,0
8-320,401422153,1717996938,15164,8-320,14.1254,0,0
8-320,401422155,1717996938,15164,8-417,3.16228,0,0
8-320,401422156,1717996938,15164,8-303,89.1251,1,0
8-320,401422159,1717996940,15070,8-320,177.828,1,2823
8-320,401422162,1717996940,15070,8-320,158.489,0,2823
8-320,401422164,1717996940,15070,8-417,22.3872,0,2823
8-320,401422167,1717996942,15155,8-320,8.91251,1,0
8-320,401422168,1717996942,15162,8-320,1.99526,1,0
8-320,401422169,1717996942,15070,8-320,199.526,1,2823
8-320,401422172,1717996942,15155,8-320,11.2202,0,0
8-320,401422173,1717996942,15162,8-417,2.23872,0,0
8-320,401422174,1717996942,15163,8-417,4.46684,0,0
8-320,401422179,1717996944,15153,8-320,22.3872,1,0
8-320,401422180,1717996944,15163,8-320,31.6228,1,0
8-320,401422183,1717996944,15153,8-320,19.9526,0,0
8-320,401422184,1717996944,15153,8-417,7.94328,0,0
8-320,401422189,1717996946,15164,8-322,5.01187,1,0
8-320,401422192,1717996946,15164,8-320,3.54813,1,0
8-320,401422194,1717996946,15164,8-322,50.1187,0,0
8-320,401422195,1717996946,15164,8-320,17.7828,0,0
8-320,401422196,1717996947,15164,8-417,3.16228,0,0
8-320,401422203,1717996948,15159,8-320,177.828,1,2883
