label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,399274842,1717578384,15160,8-303,125.893,0,2914
8-303,399274846,1717578385,15155,8-303,6.30957,1,0
8-303,399274847,1717578385,15162,8-303,6.30957,1,0
8-303,399274848,1717578385,15160,8-303,70.7946,1,2914
8-303,399274850,1717578385,15160,8-322,79.4328,0,2914
8-303,399274852,1717578385,15162,8-302,25.1189,0,0
8-303,399274853,1717578386,15160,8-322,8.91251,1,2914
8-303,399274854,1717578386,15162,8-322,0.891251,1,0
8-303,399274855,1717578386,15155,8-302,35.4813,1,0
8-303,399274856,1717578386,15162,8-302,5.01187,1,0
8-303,399274857,1717578386,15160,8-302,100.0,1,2914
8-303,399274858,1717578386,15155,8-303,25.1189,0,0
8-303,399274859,1717578386,15162,8-303,7.94328,0,0
8-303,399274861,1717578386,15160,8-303,223.872,0,2914
8-303,399274867,1717578388,15161,8-322,5.62341,1,2879
8-303,399274870,1717578388,15161,8-302,79.4328,1,2879
8-303,399274872,1717578389,15161,8-303,70.7946,0,2879
8-303,399274874,1717578389,15153,8-320,39.8107,1,0
8-303,399274876,1717578389,15161,8-303,70.7946,1,2879
8-303,399274879,1717578390,15153,8-302,15.8489,0,0
8-303,399274880,1717578390,15153,8-322,14.1254,0,0
8-303,399274881,1717578390,15164,8-302,17.7828,0,0
8-303,399274882,1717578390,15161,8-322,100.0,0,2879
8-303,399274883,1717578390,15161,8-322,5.01187,1,2879
8-303,399274890,1717578393,15162,8-302,4.46684,1,0
8-303,399274891,1717578393,15155,8-303,14.1254,0,0
8-303,399274893,1717578393,15162,8-303,6.30957,0,0
8-303,399274894,1717578393,15162,8-320,63.0957,1,0
8-303,399274896,1717578393,15155,8-303,17.7828,1,0
8-303,399274897,1717578393,15162,8-303,7.94328,1,0
8-303,399274898,1717578394,15162,8-302,12.5893,0,0
8-303,399274903,1717578395,15163,8-302,50.1187,1,0
8-303,399274904,1717578395,15163,8-303,39.8107,0,0
8-303,399274906,1717578395,15163,8-320,141.254,1,0
8-303,399274907,1717578395,15163,8-303,5.62341,1,0
8-303,399274910,1717578396,15163,8-322,14.1254,0,0
8-303,399274911,1717578396,15163,8-322,2.23872,1,0
8-303,399274912,1717578396,15070,8-322,14.1254,1,2828
8-303,399274913,1717578397,15164,8-417,7.07946,0,0
8-303,399274915,1717578397,15153,8-303,31.6228,0,0
8-303,399274916,1717578397,15153,8-302,3.54813,1,0
8-303,399274917,1717578397,15070,8-303,70.7946,0,2828
8-303,399274919,1717578397,15164,8-303,7.94328,0,0
8-303,399274920,1717578397,15164,8-320,70.7946,1,0
8-303,399274921,1717578397,15158,8-303,158.489,0,2908
8-303,399274922,1717578397,15153,8-303,6.30957,1,0
8-303,399274923,1717578398,15070,8-303,158.489,1,2828
8-303,399274924,1717578398,15164,8-303,7.07946,1,0
8-303,399274925,1717578398,15158,8-303,63.0957,1,2908
8-303,399274928,1717578398,15164,8-322,10.0,0,0
8-303,399274929,1717578398,15070,8-322,7.94328,1,2828
8-303,399274935,1717578399,15070,8-303,63.0957,0,2828
8-303,399274940,1717578401,15155,8-322,4.46684,1,0
8-303,399274942,1717578401,15155,8-302,31.6228,1,0
8-303,399274944,1717578401,15155,8-320,100.0,1,0
8-303,399274948,1717578402,15155,8-302,112.202,0,0
8-303,399274949,1717578402,15162,8-302,28.1838,0,0
8-303,399274950,1717578402,15155,8-322,19.9526,0,0
8-303,399274951,1717578402,15162,8-322,15.8489,0,0
8-303,399274952,1717578403,15163,8-322,1.99526,1,0
8-303,399274955,1717578404,15163,8-303,7.94328,0,0
8-303,399274958,1717578404,15153,8-303,3.16228,1,0
8-303,399274959,1717578404,15163,8-303,7.94328,1,0
8-303,399274961,1717578405,15153,8-322,14.1254,0,0
8-303,399274962,1717578405,15164,8-322,1.0,1,0
8-303,399274965,1717578406,15164,8-320,56.2341,1,0
8-303,399274966,1717578406,15164,8-303,7.07946,0,0
8-303,399274967,1717578406,15164,8-302,12.5893,0,0
8-303,399274970,1717578406,15164,8-303,5.01187,1,0
8-303,399274977,1717578409,15162,8-303,7.94328,1,0
8-303,399274981,1717578409,15162,8-322,0.891251,1,0
8-303,399274982,1717578410,15162,8-302,7.07946,1,0
8-303,399274984,1717578410,15162,8-303,12.5893,0,0
8-303,399274985,1717578410,15162,8-302,28.1838,0,0
8-303,399274986,1717578411,15159,8-303,28.1838,1,2878
8-303,399274989,1717578412,15159,8-302,56.2341,1,2878
8-303,399274992,1717578412,15159,8-303,251.189,0,2878
8-303,399274995,1717578413,15164,8-303,7.07946,1,0
8-303,399274996,1717578413,15153,8-322,15.8489,0,0
8-303,399274997,1717578413,15153,8-322,0.891251,1,0
8-303,399274998,1717578413,15164,8-322,31.6228,0,0
8-303,399275000,1717578413,15164,8-322,11.2202,1,0
8-303,399275003,1717578414,15153,8-302,3.54813,1,0
8-303,399275004,1717578414,15164,8-302,25.1189,1,0
