label,id,timestamp,ble_id,place,proxi,detector,batt
8322,399259454,1717575369,15153,8-417,2.51189,0,0
8322,399259457,1717575370,15163,8-320,56.2341,1,0
8322,399259466,1717575372,15164,8-322,5.62341,0,0
8322,399259473,1717575375,15162,8-322,251.189,0,0
8322,399259474,1717575375,15162,8-417,5.01187,0,0
8322,399259475,1717575375,15159,8-322,5.62341,1,2882
8322,399259477,1717575375,15162,8-322,0.707946,1,0
8322,399259478,1717575375,15155,8-322,1.12202,1,0
8322,399259480,1717575375,15155,8-303,70.7946,1,0
8322,399259481,1717575375,15162,8-303,63.0957,1,0
8322,399259482,1717575376,15153,8-302,14.1254,1,0
8322,399259483,1717575376,15162,8-320,39.8107,1,0
8322,399259484,1717575376,15153,8-320,28.1838,1,0
8322,399259486,1717575377,15153,8-417,5.62341,0,0
8322,399259490,1717575377,15159,8-322,5.01187,1,2882
8322,399259491,1717575377,15153,8-303,28.1838,0,0
8322,399259492,1717575377,15153,8-322,0.446684,1,0
8322,399259496,1717575379,15164,8-322,0.223872,1,0
8322,399259497,1717575379,15160,8-322,14.1254,1,2921
8322,399259501,1717575381,15160,8-322,35.4813,0,2921
8322,399259503,1717575381,15160,8-322,10.0,1,2921
8322,399259509,1717575383,15161,8-322,39.8107,0,2882
8322,399259511,1717575384,15162,8-322,0.316228,1,0
8322,399259512,1717575384,15155,8-322,1.25892,1,0
8322,399259513,1717575384,15161,8-322,7.94328,1,2882
8322,399259516,1717575384,15162,8-303,35.4813,1,0
8322,399259517,1717575384,15161,8-303,89.1251,1,2882
8322,399259518,1717575385,15153,8-302,14.1254,1,0
8322,399259519,1717575385,15161,8-302,158.489,1,2882
8322,399259522,1717575385,15153,8-320,100.0,1,0
8322,399259524,1717575385,15153,8-322,12.5893,0,0
8322,399259525,1717575385,15161,8-322,56.2341,0,2882
8322,399259526,1717575385,15163,8-322,5.01187,0,0
8322,399259528,1717575386,15153,8-303,28.1838,0,0
8322,399259535,1717575388,15164,8-322,4.46684,0,0
8322,399259537,1717575388,15164,8-322,0.223872,1,0
8322,399259545,1717575391,15162,8-417,3.54813,0,0
8322,399259547,1717575391,15155,8-320,31.6228,1,0
8322,399259548,1717575391,15162,8-320,50.1187,1,0
8322,399259551,1717575392,15155,8-322,2.81838,0,0
8322,399259552,1717575392,15162,8-322,28.1838,0,0
8322,399259553,1717575392,15158,8-322,50.1187,0,2901
8322,399259554,1717575392,15162,8-322,0.501187,1,0
8322,399259557,1717575392,15155,8-322,0.281838,1,0
8322,399259558,1717575392,15158,8-322,8.91251,1,2901
8322,399259559,1717575392,15153,8-322,0.446684,1,0
8322,399259561,1717575393,15155,8-303,44.6684,1,0
8322,399259562,1717575393,15153,8-303,25.1189,1,0
8322,399259563,1717575393,15153,8-302,15.8489,1,0
8322,399259564,1717575393,15153,8-417,1.77828,0,0
8322,399259566,1717575393,15070,8-417,25.1189,0,2825
8322,399259568,1717575393,15153,8-320,28.1838,1,0
8322,399259569,1717575394,15163,8-320,39.8107,1,0
8322,399259571,1717575394,15070,8-322,22.3872,0,2825
8322,399259572,1717575394,15163,8-322,5.62341,0,0
8322,399259574,1717575394,15158,8-322,50.1187,0,2901
8322,399259575,1717575394,15070,8-322,5.62341,1,2825
8322,399259576,1717575394,15163,8-322,0.446684,1,0
8322,399259579,1717575395,15163,8-303,25.1189,1,0
8322,399259581,1717575396,15164,8-303,50.1187,0,0
8322,399259593,1717575400,15153,8-322,8.91251,0,0
8322,399259596,1717575401,15153,8-417,4.46684,0,0
8322,399259599,1717575402,15163,8-322,0.630957,1,0
8322,399259605,1717575404,15164,8-417,2.81838,0,0
8322,399259608,1717575404,15164,8-320,50.1187,1,0
8322,399259609,1717575404,15164,8-322,0.177828,1,0
8322,399259610,1717575405,15164,8-322,10.0,0,0
8322,399259612,1717575405,15164,8-303,50.1187,0,0
8322,399259615,1717575407,15159,8-322,3.16228,1,2881
8322,399259617,1717575407,15159,8-322,79.4328,0,2881
8322,399259618,1717575407,15162,8-322,0.398107,1,0
8322,399259619,1717575407,15162,8-322,3.16228,0,0
8322,399259621,1717575407,15162,8-302,50.1187,1,0
8322,399259622,1717575408,15162,8-303,31.6228,1,0
8322,399259626,1717575408,15155,8-320,35.4813,1,0
8322,399259627,1717575408,15162,8-320,56.2341,1,0
8322,399259628,1717575408,15153,8-320,79.4328,1,0
8322,399259631,1717575409,15153,8-322,5.01187,0,0
8322,399259632,1717575409,15153,8-322,1.0,1,0
8322,399259633,1717575409,15163,8-322,5.01187,0,0
8322,399259634,1717575409,15163,8-322,0.562341,1,0
8322,399259635,1717575410,15153,8-302,31.6228,1,0
8322,399259637,1717575410,15163,8-303,35.4813,1,0
8322,399259642,1717575411,15160,8-322,70.7946,0,2921
8322,399259644,1717575411,15164,8-322,4.46684,0,0
8322,399259645,1717575411,15160,8-322,7.94328,1,2921
8322,399259648,1717575412,15164,8-320,177.828,0,0
8322,399259650,1717575413,15160,8-322,7.94328,1,2921
8322,399259652,1717575413,15160,8-322,39.8107,0,2921
8322,399259659,1717575415,15162,8-322,0.794328,1,0
8322,399259661,1717575416,15161,8-322,10.0,1,2883
8322,399259662,1717575416,15161,8-322,35.4813,0,2883
8322,399259663,1717575416,15155,8-417,5.62341,0,0
8322,399259664,1717575416,15153,8-417,5.01187,0,0
8322,399259666,1717575416,15153,8-303,15.8489,1,0
8322,399259668,1717575417,15153,8-320,31.6228,1,0
8322,399259669,1717575418,15161,8-322,5.62341,1,2883
