label,id,timestamp,ble_id,place,proxi,detector,batt
8-417,401432824,1717999247,15162,8-320,35.4813,1,0
8-417,401432826,1717999247,15162,8-322,4.46684,1,0
8-417,401432828,1717999247,15155,8-322,5.62341,1,0
8-417,401432829,1717999247,15162,8-417,2.51189,0,0
8-417,401432830,1717999247,15155,8-417,1.25892,0,0
8-417,401432833,1717999248,15163,8-320,70.7946,0,0
8-417,401432835,1717999248,15155,8-322,28.1838,0,0
8-417,401432836,1717999248,15163,8-322,14.1254,0,0
8-417,401432837,1717999248,15164,8-322,15.8489,0,0
8-417,401432840,1717999249,15164,8-320,50.1187,1,0
8-417,401432842,1717999249,15159,8-417,7.07946,0,2888
8-417,401432845,1717999250,15153,8-322,12.5893,0,0
8-417,401432849,1717999251,15153,8-322,2.23872,1,0
8-417,401432850,1717999251,15159,8-417,12.5893,0,2888
8-417,401432852,1717999252,15153,8-417,2.51189,0,0
8-417,401432854,1717999252,15153,8-320,79.4328,0,0
8-417,401432863,1717999255,15155,8-320,89.1251,1,0
8-417,401432865,1717999256,15155,8-417,2.51189,0,0
8-417,401432867,1717999256,15164,8-320,100.0,0,0
8-417,401432869,1717999257,15155,8-322,25.1189,0,0
8-417,401432870,1717999257,15164,8-322,15.8489,0,0
8-417,401432872,1717999258,15164,8-320,56.2341,1,0
8-417,401432874,1717999258,15164,8-417,1.77828,0,0
8-417,401432878,1717999260,15153,8-320,63.0957,1,0
8-417,401432884,1717999262,15160,8-417,5.01187,0,2910
8-417,401432885,1717999262,15161,8-417,5.62341,0,2888
8-417,401432888,1717999263,15155,8-322,39.8107,0,0
8-417,401432890,1717999264,15162,8-322,4.46684,1,0
8-417,401432891,1717999264,15162,8-417,2.23872,0,0
8-417,401432892,1717999264,15155,8-417,2.51189,0,0
8-417,401432894,1717999264,15163,8-417,1.0,0,0
8-417,401432901,1717999265,15163,8-322,39.8107,0,0
8-417,401432914,1717999270,15158,8-417,8.91251,0,2907
8-417,401432922,1717999272,15162,8-417,2.23872,0,0
8-417,401432923,1717999272,15163,8-417,1.12202,0,0
8-417,401432924,1717999272,15164,8-417,2.81838,0,0
8-417,401432925,1717999272,15162,8-320,63.0957,1,0
8-417,401432928,1717999273,15164,8-320,79.4328,0,0
8-417,401432931,1717999274,15164,8-322,14.1254,0,0
8-417,401432950,1717999280,15155,8-417,1.25892,0,0
8-417,401432951,1717999281,15164,8-417,1.77828,0,0
8-417,401432957,1717999283,15159,8-417,7.94328,0,2878
8-417,401432959,1717999283,15153,8-417,2.51189,0,0
8-417,401432964,1717999284,15153,8-322,11.2202,0,0
8-417,401432972,1717999288,15155,8-322,31.6228,0,0
8-417,401432973,1717999288,15163,8-322,14.1254,0,0
8-417,401432974,1717999288,15164,8-322,17.7828,0,0
8-417,401432976,1717999288,15164,8-322,3.98107,1,0
8-417,401432977,1717999289,15155,8-417,0.562341,0,0
8-417,401432978,1717999289,15163,8-417,1.25892,0,0
8-417,401432979,1717999289,15164,8-417,1.77828,0,0
8-417,401432982,1717999289,15163,8-320,56.2341,1,0
8-417,401432987,1717999290,15153,8-322,11.2202,0,0
8-417,401432989,1717999291,15153,8-417,2.51189,0,0
8-417,401432991,1717999291,15153,8-320,125.893,1,0
8-417,401432992,1717999291,15153,8-320,56.2341,0,0
8-417,401432998,1717999293,15160,8-417,3.54813,0,2911
8-417,401433007,1717999295,15162,8-322,31.6228,0,0
8-417,401433008,1717999295,15161,8-417,5.62341,0,2888
8-417,401433010,1717999295,15155,8-417,2.51189,0,0
8-417,401433013,1717999295,15162,8-320,89.1251,0,0
8-417,401433014,1717999295,15162,8-320,50.1187,1,0
8-417,401433015,1717999296,15163,8-320,50.1187,1,0
8-417,401433017,1717999297,15155,8-322,6.30957,1,0
8-417,401433018,1717999297,15163,8-322,7.07946,1,0
8-417,401433019,1717999297,15163,8-322,56.2341,0,0
8-417,401433020,1717999297,15164,8-417,1.58489,0,0
8-417,401433026,1717999299,15153,8-322,2.23872,1,0
8-417,401433032,1717999302,15158,8-417,8.91251,0,2910
8-417,401433036,1717999303,15162,8-322,3.98107,1,0
8-417,401433038,1717999304,15158,8-417,7.07946,0,2910
8-417,401433040,1717999304,15162,8-417,5.62341,0,0
8-417,401433041,1717999304,15155,8-417,2.81838,0,0
8-417,401433042,1717999304,15163,8-417,1.25892,0,0
8-417,401433044,1717999304,15163,8-320,50.1187,1,0
8-417,401433049,1717999305,15163,8-322,6.30957,1,0
8-417,401433050,1717999305,15164,8-322,17.7828,0,0
8-417,401433052,1717999306,15164,8-417,1.77828,0,0
8-417,401433056,1717999307,15153,8-322,2.51189,1,0
8-417,401433060,1717999308,15153,8-417,2.81838,0,0
8-417,401433068,1717999311,15162,8-322,3.16228,1,0
8-417,401433072,1717999311,15155,8-322,50.1187,0,0
8-417,401433074,1717999312,15155,8-417,2.81838,0,0
8-417,401433076,1717999312,15163,8-417,1.12202,0,0
8-417,401433077,1717999312,15163,8-320,50.1187,1,0
8-417,401433082,1717999314,15159,8-322,177.828,0,2892
8-417,401433083,1717999314,15164,8-322,14.1254,0,0
8-417,401433086,1717999314,15159,8-417,7.07946,0,2892
8-417,401433087,1717999314,15153,8-417,1.58489,0,0
8-417,401433090,1717999316,15153,8-322,7.94328,1,0
8-417,401433092,1717999316,15159,8-417,7.07946,0,2892
8-417,401433102,1717999320,15163,8-322,3.98107,1,0
8-417,401433103,1717999320,15155,8-322,39.8107,0,0
8-417,401433104,1717999320,15163,8-322,56.2341,0,0
8-417,401433107,1717999320,15155,8-417,0.562341,0,0
8-417,401433108,1717999320,15163,8-417,1.12202,0,0
8-417,401433110,1717999321,15163,8-320,70.7946,1,0
8-417,401433116,1717999322,15153,8-320,100.0,0,0
8-417,401433118,1717999323,15153,8-417,2.23872,0,0
8-417,401433121,1717999324,15153,8-322,2.23872,1,0
8-417,401433125,1717999325,15160,8-417,11.2202,0,2912
8-417,401433132,1717999327,15161,8-417,5.62341,0,2887
8-417,401433134,1717999327,15162,8-417,1.77828,0,0
8-417,401433138,1717999328,15163,8-322,6.30957,1,0
8-417,401433139,1717999328,15164,8-322,2.81838,1,0
8-417,401433141,1717999328,15164,8-322,19.9526,0,0
8-417,401433142,1717999329,15164,8-320,100.0,0,0
8-417,401433143,1717999329,15163,8-417,1.12202,0,0
8-417,401433144,1717999329,15164,8-417,0.707946,0,0
8-417,401433156,1717999333,15158,8-417,7.07946,0,2904
8-417,401433161,1717999335,15158,8-417,7.07946,0,2904
8-417,401433163,1717999337,15155,8-322,7.07946,1,0
8-417,401433166,1717999337,15163,8-322,5.62341,1,0
8-417,401433169,1717999337,15163,8-322,50.1187,0,0
8-417,401433171,1717999337,15163,8-417,1.12202,0,0
8-417,401433172,1717999337,15164,8-417,0.501187,0,0
8-417,401433174,1717999337,15163,8-320,50.1187,1,0
8-417,401433178,1717999339,15153,8-320,56.2341,0,0
8-417,401433181,1717999339,15153,8-417,2.51189,0,0
8-417,401433190,1717999343,15162,8-322,5.62341,1,0
8-417,401433192,1717999343,15162,8-320,79.4328,0,0
8-417,401433194,1717999343,15162,8-417,1.99526,0,0
8-417,401433196,1717999343,15162,8-322,10.0,0,0
8-417,401433201,1717999345,15164,8-320,100.0,0,0
8-417,401433202,1717999345,15164,8-417,1.58489,0,0
8-417,401433204,1717999346,15159,8-417,7.94328,0,2889
8-417,401433206,1717999346,15164,8-322,12.5893,0,0
8-417,401433208,1717999346,15164,8-320,70.7946,1,0
8-417,401433212,1717999347,15153,8-322,2.51189,1,0
8-417,401433215,1717999347,15153,8-320,89.1251,0,0
8-417,401433217,1717999348,15153,8-417,1.58489,0,0
8-417,401433219,1717999348,15153,8-322,11.2202,0,0
8-417,401433228,1717999351,15162,8-322,3.54813,1,0
8-417,401433231,1717999352,15162,8-417,2.51189,0,0
8-417,401433233,1717999352,15162,8-320,31.6228,1,0
8-417,401433234,1717999352,15162,8-322,22.3872,0,0
8-417,401433235,1717999353,15164,8-322,3.98107,1,0
8-417,401433242,1717999354,15153,8-322,10.0,0,0
8-417,401433247,1717999356,15153,8-417,1.58489,0,0
8-417,401433251,1717999356,15160,8-322,199.526,0,2912
8-417,401433255,1717999358,15160,8-417,12.5893,0,2912
8-417,401433257,1717999360,15155,8-322,6.30957,1,0
8-417,401433258,1717999360,15163,8-322,3.98107,1,0
8-417,401433260,1717999360,15162,8-320,89.1251,0,0
8-417,401433262,1717999360,15161,8-417,5.01187,0,2887
8-417,401433263,1717999360,15162,8-417,1.99526,0,0
8-417,401433264,1717999360,15155,8-417,2.81838,0,0
8-417,401433265,1717999360,15163,8-417,1.12202,0,0
8-417,401433268,1717999360,15155,8-320,112.202,1,0
8-417,401433269,1717999360,15162,8-320,31.6228,1,0
8-417,401433271,1717999360,15155,8-322,28.1838,0,0
8-417,401433272,1717999361,15162,8-322,28.1838,0,0
8-417,401433273,1717999361,15163,8-322,44.6684,0,0
8-417,401433279,1717999362,15153,8-417,2.81838,0,0
8-417,401433281,1717999362,15153,8-320,50.1187,1,0
8-417,401433283,1717999363,15153,8-322,12.5893,0,0
8-417,401433295,1717999366,15158,8-417,7.07946,0,2908
8-417,401433300,1717999368,15162,8-322,4.46684,1,0
8-417,401433301,1717999368,15155,8-322,5.62341,1,0
8-417,401433303,1717999368,15155,8-417,1.25892,0,0
8-417,401433304,1717999368,15163,8-417,1.12202,0,0
