label,ble_id,C0,C1
8-302,15070,-4.089170638193485,0.8731599182444686
8-302,15070,-4.0873874911561,0.8745443048727871
8-302,15070,-4.011493849376895,0.8590703081308314
8-302,15070,-3.909564610135286,0.6849795561785122
8-302,15070,-2.5205763922284357,1.2622399161623121
8-302,15070,-2.645869377836324,1.4256467184955086
8-302,15070,-2.5570652372826963,1.3220775636390278
8-302,15070,-2.45034454242783,1.3305368484345428
8-302,15070,-2.4740596469438385,1.3206809046666437
8-302,15070,-1.056798005474207,0.9039364700214088
8-302,15070,-1.0488929706355377,0.9072217846107085
8-302,15070,-1.0414453371097587,0.9130039237442442
8-302,15070,-1.1531205590591365,1.0852489615661707
8-302,15070,-1.2962629901955096,1.3093010857320668
8-302,15070,-1.2962367673747726,1.3093214444134453
8-302,15070,-3.069877303714562,1.6709499977060616
8-302,15070,-3.113749750615561,1.722116893964444
8-302,15070,-3.011567304746047,1.6987767080683789
8-302,15070,-3.054520414051533,1.7488714131293526
8-302,15070,-3.0387133539644657,1.745648502875569
8-302,15070,-4.515154249443903,1.3045639410691825
8-302,15070,-4.507250719400369,1.3029524859422907
8-302,15070,-4.527698177831321,1.33136333251512
8-302,15070,-4.552401354149404,1.360173780739541
8-302,15070,-3.6390390795294625,2.0731559153672197
8-302,15070,-3.639139615124982,2.073273166506593
8-302,15070,-4.567478280639122,1.361867250861771
8-302,15070,-4.567578816234642,1.3619845020011438
8-302,15070,-4.6088513123603,1.4101191668478852
8-302,15070,-4.600063005169227,1.4169421683759738
8-302,15070,-4.663554848786374,1.4298875556078943
8-302,15070,-4.671749026654195,1.4394441378936187
8-302,15070,-4.698230206325305,1.4340859153811585
8-302,15070,-4.722574759639754,1.4624781141729857
8-302,15070,-4.72844336404943,1.4579218900920101
8-302,15070,-4.712763473273011,1.4547249084595513
8-302,15070,-4.761094974819451,1.480293722225194
8-302,15070,-4.761154469891704,1.4803631092415306
8-302,15070,-4.781580419489,1.504185177939505
8-302,15070,-4.761154469891704,1.4803631092415306
8-302,15070,-4.74531386428273,1.4771333593726688
8-302,15070,-4.735809500917346,1.4751955094513516
8-302,15070,-4.778395358335069,1.4779792629434643
8-302,15070,-4.673005638992629,1.355066929185032
8-302,15070,-4.654019831094493,1.36980699157527
8-302,15070,-4.60901094502695,1.360630104815844
8-302,15070,-4.552393991300116,1.3314324592879823
8-302,15070,-4.546535409105254,1.335980902395272
8-302,15070,-4.556429560452591,1.337998226404555
8-302,15070,-4.552703516979123,1.3336526725700177
8-302,15070,-4.535905856616976,1.3144560546511141
8-302,15070,-4.532976565519545,1.3167302762047588
8-302,15070,-4.579865800818678,1.3262905484125733
8-302,15070,-4.609594291187964,1.3263094394729382
8-302,15070,-4.545119107137649,1.2511142933944206
8-302,15070,-4.559726962046171,1.2397731540605341
8-302,15070,-4.574246539180944,1.2567068276859636
8-302,15070,-4.650208289254403,1.2990850119775916
8-302,15070,-4.650198459155741,1.2990926437975467
8-302,15070,-4.6561558520677755,1.3060405422311203
8-302,15070,-4.656324853004622,1.3060749999259262
8-302,15070,-4.645843272436711,1.3142126126284377
8-302,15070,-4.631400807876329,1.2715642462187873
8-302,15070,-4.569738525923166,1.2589918893299101
8-302,15070,-4.488283938810881,1.2028405545989211
8-302,15070,-4.489722672155631,1.2017235613491035
8-302,15070,-4.431638292031956,1.189880704849911
8-302,15070,-4.453107890951108,1.214919945152241
8-302,15070,-4.424303235263458,1.2433794933447335
8-302,15070,-4.403023305020139,1.21856145696754
8-302,15070,-4.31805584801762,1.1637030811190674
8-302,15070,-4.31805584801762,1.1637030811190674
8-302,15070,-4.322398860586299,1.1687681843728672
8-302,15070,-4.298102568561395,1.163814399907909
8-302,15070,-4.2876318447431006,1.163217405867515
8-302,15070,-4.274851454237107,1.1483120846157187
