label,ble_id,C0,C1
8-302,15070,-4.285365614973323,0.9028997383943215
8-302,15070,-4.288495905890609,0.9009057973750144
8-302,15070,-4.211920090108242,0.8823904146259945
8-302,15070,-4.22508363831412,0.8740054627410508
8-302,15070,-2.932611578272732,1.5449478870361342
8-302,15070,-2.9791645745511253,1.5566079813244842
8-302,15070,-2.9277664793369316,1.5042017850244849
8-302,15070,-2.79843365659632,1.387880063363674
8-302,15070,-2.820500877608527,1.3764246244252791
8-302,15070,-2.8109877914423587,1.3824842953083185
8-302,15070,-2.803632051104956,1.38630277495445
8-302,15070,-2.7972619606323397,1.390360412096066
8-302,15070,-2.8106370420122873,1.4719100536755465
8-302,15070,-1.6152074716625402,1.2635473709835536
8-302,15070,-1.6028395991262634,1.271425491267983
8-302,15070,-3.392422597001441,1.7041314811195076
8-302,15070,-3.44926836890055,1.7620922025928405
8-302,15070,-3.334040240236631,1.7512271733768325
8-302,15070,-3.3883332018385235,1.8065850147824298
8-302,15070,-3.3723840591579073,1.8027286473610287
8-302,15070,-3.434351601501386,1.9051815866743922
8-302,15070,-3.4263770301610776,1.9032534029636918
8-302,15070,-3.4183811718865487,1.9015409195053055
8-302,15070,-3.458772509952946,1.9427244766528222
8-302,15070,-4.8248760657025835,1.3806691795559063
8-302,15070,-4.831971337267493,1.3879036148571156
8-302,15070,-4.867355070342261,1.408333512408701
8-302,15070,-4.869731309284319,1.4107563579233888
8-302,15070,-4.883600062819743,1.4292816713237677
8-302,15070,-4.874154286540031,1.4352984669766262
8-302,15070,-4.907819776497424,1.4434384969015563
8-302,15070,-4.919395109732389,1.4552408639585752
8-302,15070,-4.951312983797593,1.463755846065499
8-302,15070,-4.974228551146434,1.487120869921044
8-302,15070,-4.980536196421312,1.4831030092872735
8-302,15070,-4.980653079750651,1.483131270684917
8-302,15070,-5.025588614279347,1.5138784882847673
8-302,15070,-5.027930403090121,1.5162662079774734
8-302,15070,-5.042471014528463,1.5179623480573112
8-302,15070,-5.03096318498732,1.506228808683784
8-302,15070,-5.023804957360348,1.5044980099588354
8-302,15070,-5.019032805609032,1.5033441441422029
8-302,15070,-5.093583502286379,1.5303209140670035
8-302,15070,-5.024607303061441,1.4599918440587483
8-302,15070,-5.012053650046849,1.467988303285496
8-302,15070,-4.971509187059575,1.458184996028589
8-302,15070,-4.969000130230801,1.4597832217088405
8-302,15070,-4.962084621318111,1.4641882809364812
8-302,15070,-4.968300985899663,1.4656913451658196
8-302,15070,-4.954556824702416,1.4516776116474834
8-302,15070,-4.912935309653731,1.4203691995627725
8-302,15070,-4.9072749954706865,1.4239747215190257
8-302,15070,-4.943530946121417,1.4327411028676185
8-302,15070,-4.917232434453062,1.414087632945284
8-302,15070,-4.854476741120275,1.3501010752715987
8-302,15070,-4.8638971580259955,1.3441004331001136
8-302,15070,-4.867855324885272,1.3481362338151195
8-302,15070,-4.84197532727569,1.3170962388532796
8-302,15070,-4.841965517714495,1.3171024873736128
8-302,15070,-4.849411577618028,1.324694591231546
8-302,15070,-4.858206743124728,1.326821187651496
8-302,15070,-4.850157316878292,1.331948532552898
8-302,15070,-4.852124231964253,1.319852956148071
8-302,15070,-4.820586505333371,1.3122274013480504
8-302,15070,-4.869759851377992,1.3454838160942884
8-302,15070,-4.87163218970621,1.344291169054987
8-302,15070,-4.823807445717719,1.3327275516024826
8-302,15070,-4.829365924628183,1.3383950522306125
8-302,15070,-4.781703686144165,1.2876080710116553
8-302,15070,-4.767470254451392,1.2730954706476614
8-302,15070,-4.687715501756389,1.2291133587457694
8-302,15070,-4.688643322302841,1.2285223531507592
8-302,15070,-4.692419963813562,1.2323730681537333
8-302,15070,-4.663757645562622,1.2254427627111033
8-302,15070,-4.645020823504342,1.251032354909904
8-302,15070,-4.630620067768445,1.2363491486778693
8-302,15070,-4.628246767243796,1.2357753047410682
8-302,15070,-4.6259454372904125,1.212656596473062
8-302,15070,-4.726385151599973,1.315066294001487
8-302,15070,-4.752930122604485,1.3325769064963988
8-302,15070,-4.7818312237406175,1.3395649476153397
8-302,15070,-4.866642452383627,1.426039628791508
8-302,15070,-4.899947288803464,1.4340924557500787
8-302,15070,-4.982082565364171,1.4640043804989435
8-302,15070,-5.0662204079211195,1.5497924680715016
8-302,15070,-5.0973186301358755,1.5573117544315287
8-302,15070,-5.284404206117754,1.748066749902593
8-302,15070,-5.298420677902381,1.7514558138940335
8-302,15070,-5.45670655260888,1.855823476518398
8-302,15070,-5.466109987338251,1.8498336516986913
8-302,15070,-5.512899722568867,1.8975411015390424
8-302,15070,-5.525627183852132,1.9105181940097222
8-302,15070,-5.5924796694136125,1.9282678057082814
8-302,15070,-5.573693157300218,1.940234488071808
8-302,15070,-4.195397730261286,2.6557291620400134
8-302,15070,-4.180519536969272,2.652131741097108
8-302,15070,-4.208891648214396,2.6810603312551895
8-302,15070,-4.217282357410713,2.6985521258007505
8-302,15070,-4.223073323574773,2.6999523323009194
8-302,15070,-4.229335494279238,2.695963438179744
8-302,15070,-4.258796910626639,2.7260026986220565
8-302,15070,-4.339451159005121,2.789587010895014
8-302,15070,-4.291071583485237,2.740258538292286
8-302,15070,-4.267808176027669,2.7346336436865606
8-302,15070,-4.257352583582924,2.723972979554774
8-302,15070,-4.259231234794263,2.7227763113184213
8-302,15070,-4.224301174162485,2.6990974213223224
