label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2,8-320-0,8-320-1
8-302,25.7877,6.037395,100.0,13.42702,10.6101,100,100.0
8-302,25.7877,6.037395,15.8489,13.42702,10.6101,100,100.0
8-302,21.900266666666667,6.037395,15.8489,13.42702,10.6101,100,100.0
8-302,21.900266666666667,6.037395,14.98715,13.42702,10.6101,100,100.0
8-302,21.900266666666667,6.38475,14.98715,13.42702,10.6101,100,100.0
8-302,19.23025,6.38475,14.98715,13.42702,10.6101,100,100.0
8-302,19.23025,6.38475,14.98715,13.42702,10.044236666666665,100,100.0
8-302,19.23025,6.38475,14.187866666666666,13.42702,10.044236666666665,100,100.0
8-302,21.020960000000002,6.38475,14.187866666666666,13.42702,10.044236666666665,100,100.0
8-302,21.020960000000002,6.38475,14.187866666666666,19.49228,10.044236666666665,100,100.0
8-302,18.3705,6.38475,14.187866666666666,15.614477500000001,10.044236666666665,100,100.0
8-302,18.3705,6.7743825,14.187866666666666,15.614477500000001,10.044236666666665,100,100.0
8-302,18.3705,6.7743825,14.187866666666666,15.614477500000001,10.033177499999999,100,100.0
8-302,18.3705,6.7743825,13.44595,15.614477500000001,10.033177499999999,100,100.0
8-302,24.720139999999997,6.7743825,13.44595,15.614477500000001,10.033177499999999,100,100.0
8-302,25.912025,6.611784999999999,13.44595,19.33035666666667,9.637503333333333,100,100.0
8-302,25.912025,6.611784999999999,13.44595,19.485917500000003,9.637503333333333,100,100.0
8-302,25.912025,6.611784999999999,13.58184,19.485917500000003,9.637503333333333,100,100.0
8-302,25.912025,5.844876666666667,13.015075,18.518823333333334,10.044236666666665,100,100.0
8-302,25.912025,5.844876666666667,13.015075,14.776150000000001,10.044236666666665,100,100.0
8-302,24.28618,5.844876666666667,13.015075,14.776150000000001,10.044236666666665,100,100.0
8-302,24.286179999999998,5.2275849999999995,12.644966666666667,14.776150000000001,10.044236666666665,100,100.0
8-302,24.286179999999998,5.2275849999999995,12.644966666666667,14.776150000000001,10.033177499999999,100,100.0
8-302,24.286179999999998,5.2275849999999995,12.63105,14.776150000000001,10.033177499999999,100,100.0
8-302,24.286179999999998,5.588246666666667,12.63105,14.776150000000001,10.033177499999999,100,100.0
8-302,24.286179999999998,5.588246666666667,12.63105,15.811440000000001,10.033177499999999,100,100.0
8-302,30.97582,5.588246666666667,12.644966666666667,15.811440000000001,10.406733333333333,100,100.0
8-302,30.97582,5.588246666666667,12.288775,15.811440000000001,10.406733333333333,100,100.0
8-302,30.97582,5.588246666666667,12.288775,15.811440000000001,10.6101,100,100.0
8-302,30.97582,6.177004999999999,12.288775,15.811440000000001,10.6101,100,100.0
8-302,28.89562,6.177004999999999,12.288775,11.8586,10.6101,100,100.0
8-302,23.58985,5.588246666666667,12.644966666666667,14.484443333333333,10.6101,100,100.0
8-302,23.58985,5.588246666666667,13.015075,14.484443333333333,10.6101,100,100.0
8-302,25.19644,7.126424999999999,12.644966666666667,11.750365,10.6101,100,100.0
8-302,25.19644,7.126424999999999,12.644966666666667,11.750365,10.732119999999998,100,100.0
8-302,25.19644,7.126424999999999,12.644966666666667,15.295976666666666,10.732119999999998,100,100.0
8-302,26.11732,7.126424999999999,12.644966666666667,21.1699,10.6101,100,100.0
8-302,29.115299999999998,7.94328,12.6728,13.184135,10.813466666666665,100,100.0
8-302,29.115299999999998,7.94328,12.6728,13.184135,10.6101,100,100.0
