label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2,8-320-0,8-320-1
8-303,100.0,100.0,11.2202,4.1909825000000005,10.0,100.0,100.0
8-303,100.0,100.0,11.2202,4.1909825000000005,9.456254999999999,100.0,100.0
8-303,100.0,100.0,100.0,4.3438675,8.91251,100.0,100.0
8-303,100.0,25.1189,100.0,4.3438675,8.91251,100.0,100.0
8-303,100.0,25.1189,14.1254,4.3438675,8.91251,100.0,100.0
8-303,100.0,25.1189,14.1254,4.0177275,8.91251,100.0,100.0
8-303,100.0,44.1073,14.1254,3.8680233333333334,8.91251,100.0,100.0
8-303,100.0,44.1073,14.1254,4.30687,8.91251,100.0,100.0
8-303,100.0,44.1073,14.1254,4.30687,8.91251,100.0,100.0
8-303,100.0,38.79946666666667,14.1254,4.30687,8.91251,100.0,100.0
8-303,100.0,28.1838,50.1187,100.0,100.0,100.0,100.0
8-303,100.0,28.1838,50.1187,100.0,8.91251,100.0,100.0
8-303,100.0,28.1838,50.1187,2.81838,8.91251,100.0,100.0
8-303,100.0,100.0,50.1187,4.220895,8.91251,100.0,100.0
8-303,100.0,100.0,31.354,4.220895,8.91251,100.0,100.0
8-303,100.0,100.0,31.354,4.220895,8.91251,100.0,100.0
8-303,100.0,100.0,31.354,4.220895,8.91251,100.0,100.0
8-303,100.0,70.7946,31.354,4.220895,8.91251,100.0,100.0
8-303,63.0957,70.7946,31.354,4.220895,8.91251,100.0,100.0
8-303,63.0957,70.7946,37.6089,4.220895,8.91251,100.0,100.0
8-303,63.0957,70.7946,37.6089,4.220895,8.6702025,100.0,100.0
8-303,63.0957,70.7946,37.6089,4.6884,8.6702025,100.0,100.0
8-303,63.0957,70.7946,31.354,5.85213,8.589433333333332,100.0,100.0
8-303,63.0957,70.7946,50.1187,6.080850000000001,8.427895,100.0,100.0
8-303,100.0,100.0,50.1187,6.080850000000001,8.97164,100.0,100.0
8-303,100.0,100.0,100.0,2.81838,100.0,100.0,100.0
8-303,100.0,31.6228,100.0,2.81838,100.0,100.0,100.0
8-303,100.0,31.6228,100.0,2.81838,8.91251,100.0,100.0
