label,ble_id,C0,C1,C2,C3
8-302,15070,-3.2423817278148195,3.09961418045247,-0.9701099447197351,-0.22021861241303226
8-302,15070,-3.2549317001473077,3.1026918517833475,-0.991350972037928,-0.23635198171474653
8-302,15070,-3.072349855625253,3.1011874244548343,-1.0114440688541495,-0.2840440175781463
8-302,15070,-3.099659747931529,3.107884719904863,-1.0576664949413215,-0.3191517107661698
8-302,15070,-3.9562258777076353,2.5768735994137133,-0.018084749777867247,0.9171816828795364
8-302,15070,-4.04467548437325,2.6324357074861955,-0.11001843323960162,0.8233710026509738
8-302,15070,-3.9873085390871896,2.527843402500049,-0.16731574740253966,0.8439496058101147
8-302,15070,-3.8137190394049085,2.2718061510559773,-0.23758851222613378,0.941726348898093
8-302,15070,-3.808943721037893,2.2747665146153366,-0.24338413457112498,0.934833844796893
8-302,15070,-3.787264689349372,2.2694500937865656,-0.20669202943111878,0.9627028962233292
8-302,15070,-3.7888564621383773,2.268463305933446,-0.2047601553161217,0.9650003975903957
8-302,15070,-3.7785805077776455,2.2659432995704396,-0.1873679394996969,0.9782104479584007
8-302,15070,-3.6933121743845008,2.4660255186021662,-0.06905458499153042,0.909802194408405
8-302,15070,-2.3714234357836053,2.627576314019091,-0.10417086312770155,0.525413404764318
8-302,15070,-2.3442252675893727,2.620906417043536,-0.058137531873023195,0.5603774732245932
8-302,15070,-4.6043171128779505,2.639528991187764,0.19058514030619697,1.1507339877084861
8-302,15070,-4.67065980933562,2.7604860250145253,0.256847311010887,1.1269356136430386
8-302,15070,-4.497648811026696,2.746838501021392,0.33661584817721557,1.1661543778213135
8-302,15070,-4.555336452784592,2.8520155047922295,0.394233469555504,1.145460734800881
8-302,15070,-4.5395092112987525,2.851885092402714,0.39249168467902196,1.1413265155933947
8-302,15070,-4.573041120231874,3.0121039044112488,0.5949721601978321,1.1874933089281912
8-302,15070,-4.565127499488955,3.012038698216491,0.594101267759591,1.185426199324448
8-302,15070,-4.631658930808124,3.0253482773770006,0.48681479630246194,1.1055851658022804
8-302,15070,-4.669385886953837,3.0941326493479155,0.524495960044287,1.0920517964542422
8-302,15070,-3.863843023132256,3.8134123959074038,-0.30867103086332304,-0.11198181809478529
8-302,15070,-3.8700549702279536,3.8247381142623067,-0.30246662373425404,-0.11421016045274938
8-302,15070,-3.922392653272621,3.872839186012692,-0.33090140697393855,-0.16077864239293066
8-302,15070,-3.9245244828216213,3.876725970732631,-0.3287721650071266,-0.1615433697820749
8-302,15070,-3.9483794360802835,3.9263601752665447,-0.35947581992769717,-0.21615562172582997
8-302,15070,-3.9183906287668053,3.919005920606002,-0.3087192876812793,-0.17760410220942385
8-302,15070,-3.955013777408991,3.9193076859092155,-0.3046889172284636,-0.16803780319954192
8-302,15070,-3.963791115937998,3.9353106657404533,-0.2959222324990748,-0.1711863997559941
8-302,15070,-4.005539300298638,3.9438646839081946,-0.30648664444339346,-0.177738075544366
8-302,15070,-4.021766664829988,3.9734506667720364,-0.29027897643958245,-0.18355913666840146
8-302,15070,-4.040128448014148,3.9779535877500676,-0.32135658584719906,-0.20716376473448722
8-302,15070,-4.041970199329884,3.977968763306098,-0.3211539014697059,-0.20668268256538375
8-302,15070,-4.0848619442926015,4.014473441298365,-0.2987315405887224,-0.20782688918568154
8-302,15070,-4.086761964451455,4.017937587540485,-0.29683382664535574,-0.20850846218296132
8-302,15070,-4.104273726825252,4.014710685074265,-0.29718318626717954,-0.20326082589793
8-302,15070,-4.095891848644762,3.9994287146880274,-0.3055548906517892,-0.20025408841270304
8-302,15070,-4.088953437598703,3.9993715439697586,-0.30631846145076,-0.20206646438748782
8-302,15070,-4.084327830234664,3.9993334301575794,-0.30682750865007347,-0.20327471503734434
8-302,15070,-4.1487355822136145,4.015077039300216,-0.2922901676470323,-0.19164698550056797
8-302,15070,-4.08505371844232,3.8989712769236378,-0.3558947353434748,-0.1688031022076854
8-302,15070,-4.0373553569411795,3.88727404956467,-0.2751645016157115,-0.10748541474215616
8-302,15070,-3.9844565408090227,3.886838176957273,-0.2809860061403767,-0.12130306590407917
8-302,15070,-3.974655947704822,3.884434745011506,-0.2643983467937582,-0.10870410681979685
