label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2,8-320-0,8-320-1
8-302,25.7877,6.037395,15.8489,13.42702,10.6101,100.0,100.0
8-302,19.95576,6.037395,15.8489,13.42702,10.6101,100.0,100.0
8-302,19.95576,6.037395,14.98715,13.42702,10.6101,100.0,100.0
8-302,19.95576,6.38475,14.98715,13.42702,10.6101,100.0,100.0
8-302,17.044433333333334,6.38475,14.98715,13.42702,10.6101,100.0,100.0
8-302,17.044433333333334,6.38475,14.98715,13.42702,9.809044,100.0,100.0
8-302,17.044433333333334,6.38475,14.187866666666666,13.42702,9.809044,100.0,100.0
8-302,19.829275,6.38475,14.187866666666666,13.42702,9.809044,100.0,100.0
8-302,19.829275,6.38475,14.187866666666666,22.524910000000002,9.809044,100.0,100.0
8-302,18.144485714285715,6.38475,14.187866666666666,16.34363,9.809044,100.0,100.0
8-302,18.144485714285715,7.0081620000000004,14.187866666666666,16.34363,9.809044,100.0,100.0
8-302,18.144485714285715,7.0081620000000004,14.187866666666666,16.34363,9.84087,100.0,100.0
8-302,18.144485714285715,7.0081620000000004,12.932216666666667,16.34363,9.84087,100.0,100.0
8-302,26.640425,7.0081620000000004,12.932216666666667,16.34363,9.84087,100.0,100.0
8-302,27.59582857142857,6.150385,12.932216666666667,18.718988000000003,9.565003999999998,100.0,100.0
8-302,27.59582857142857,6.150385,12.932216666666667,19.071448571428572,9.565003999999998,100.0,100.0
8-302,27.59582857142857,6.150385,13.322114285714287,19.071448571428572,9.565003999999998,100.0,100.0
8-302,27.59582857142857,5.5979600000000005,12.900983333333334,18.518823333333334,10.270582,100.0,100.0
8-302,27.59582857142857,5.5979600000000005,12.900983333333334,12.369485714285714,10.270582,100.0,100.0
8-302,27.047485714285717,5.5979600000000005,12.900983333333334,12.369485714285714,10.270582,100.0,100.0
8-302,25.432225,5.2275849999999995,12.6561,12.369485714285714,10.270582,100.0,100.0
8-302,25.432225,5.2275849999999995,12.6561,12.369485714285714,10.225484999999999,100.0,100.0
8-302,25.432225,5.2275849999999995,12.87315,12.369485714285714,10.225484999999999,100.0,100.0
8-302,25.432225,5.11724,12.87315,12.369485714285714,10.225484999999999,100.0,100.0
8-302,25.432225,5.11724,12.87315,15.313816250000002,10.225484999999999,100.0,100.0
8-302,28.931962499999997,5.11724,12.929920000000001,15.313816250000002,10.48808,100.0,100.0
8-302,28.931962499999997,5.11724,12.160766666666667,15.313816250000002,10.48808,100.0,100.0
8-302,28.931962499999997,5.11724,12.160766666666667,15.313816250000002,10.697257142857142,100.0,100.0
8-302,28.931962499999997,6.493478333333333,12.160766666666667,15.313816250000002,10.697257142857142,100.0,100.0
8-302,27.631837500000003,6.493478333333333,12.160766666666667,12.98396142857143,10.697257142857142,100.0,100.0
8-302,24.419428571428575,6.203518,12.34888,14.484443333333333,10.610100000000001,100.0,100.0
8-302,24.419428571428575,6.203518,12.900983333333334,14.484443333333333,10.610100000000001,100.0,100.0
8-302,25.0554,7.126424999999999,12.6561,11.750365,10.610100000000001,100.0,100.0
8-302,25.0554,7.126424999999999,12.6561,11.750365,10.697257142857142,100.0,100.0
8-302,25.0554,7.126424999999999,12.6561,17.0687825,10.697257142857142,100.0,100.0
8-302,26.37094285714286,7.126424999999999,12.6561,21.575666666666667,10.610100000000001,100.0,100.0
8-302,28.41186666666667,7.94328,12.6728,13.184135,10.73212,100.0,100.0
8-302,28.41186666666667,7.94328,12.6728,13.184135,10.610100000000001,100.0,100.0
8-302,28.41186666666667,7.94328,14.260850000000001,13.184135,10.610100000000001,100.0,100.0
8-302,28.41186666666667,4.52668,14.260850000000001,13.184135,10.610100000000001,100.0,100.0
8-302,25.16056,2.81838,15.2744,13.184135,9.84087,100.0,100.0
8-302,25.16056,2.81838,15.2744,13.184135,9.84087,100.0,100.0
8-302,27.005000000000003,2.81838,15.2744,16.117428,9.84087,100.0,100.0
8-302,20.9296,2.81838,15.2744,16.117428,9.84087,100.0,100.0
8-302,17.906566666666667,2.81838,15.8489,16.117428,9.809044,100.0,100.0
8-302,17.906566666666667,2.81838,15.8489,16.117428,9.84087,100.0,100.0
8-302,17.906566666666667,2.81838,13.675833333333335,16.117428,9.84087,100.0,100.0
8-302,13.688085714285716,2.81838,13.675833333333335,14.549985,9.565003999999998,100.0,100.0
8-302,13.688085714285716,2.81838,13.675833333333335,17.956894,9.565003999999998,100.0,100.0
8-302,12.238233333333334,2.81838,13.675833333333335,12.104618333333335,9.565003999999998,100.0,100.0
8-302,12.238233333333334,2.81838,13.675833333333335,12.104618333333335,10.681851666666667,100.0,100.0
8-302,15.64882857142857,2.81838,13.675833333333335,12.104618333333335,10.681851666666667,100.0,100.0
8-302,15.64882857142857,2.81838,12.5893,13.729328,10.681851666666667,100.0,100.0
8-302,15.64882857142857,2.81838,14.762366666666667,13.729328,10.681851666666667,100.0,100.0
8-302,20.9893875,2.81838,14.762366666666667,13.729328,10.681851666666667,100.0,100.0
8-302,20.0395,100.0,14.762366666666667,13.729328,11.035720000000001,100.0,100.0
8-302,20.0395,100.0,14.762366666666667,15.939706666666666,11.035720000000001,100.0,100.0
8-302,20.0395,100.0,13.893139999999999,15.939706666666666,11.035720000000001,100.0,100.0
8-302,20.0395,100.0,13.893139999999999,15.939706666666666,10.7398,100.0,100.0
8-302,20.7787625,7.94328,13.893139999999999,14.103868,10.7398,100.0,100.0
8-302,17.65958,7.94328,13.893139999999999,14.103868,10.7398,100.0,100.0
8-302,17.65958,7.94328,25.990557142857142,14.103868,10.7398,100.0,100.0
8-302,18.293364999999998,7.94328,26.456214285714285,14.103868,10.863100000000001,100.0,100.0
8-302,18.293364999999998,7.94328,26.456214285714285,14.103868,10.43155,100.0,100.0
8-302,18.293364999999998,5.38083,26.456214285714285,14.103868,10.43155,100.0,100.0
8-302,15.840380000000001,5.38083,26.456214285714285,14.103868,10.43155,100.0,100.0
8-302,16.5704275,5.38083,28.621475,13.184135,10.43155,100.0,100.0
8-302,16.5704275,5.38083,28.621475,16.5683675,10.43155,100.0,100.0
8-302,16.5704275,5.38083,28.621475,16.5683675,10.718528571428573,100.0,100.0
8-302,16.5704275,8.870186666666667,28.621475,16.5683675,10.718528571428573,100.0,100.0
8-302,22.32940222222222,8.870186666666667,28.621475,16.5683675,10.718528571428573,100.0,100.0
8-302,21.980714999999996,8.870186666666667,28.621475,20.764133333333334,10.033177499999999,100.0,100.0
8-302,21.04151222222222,8.870186666666667,28.621475,20.764133333333334,10.033177499999999,100.0,100.0
8-302,21.04151222222222,9.325405714285713,28.621475,20.764133333333334,10.033177499999999,100.0,100.0
8-302,21.04151222222222,9.325405714285713,28.621475,21.41336,10.033177499999999,100.0,100.0
8-302,19.23653875,9.213284999999999,30.44612857142857,21.41336,10.037917142857141,100.0,100.0
8-302,17.831534444444443,9.213284999999999,30.44612857142857,21.41336,10.037917142857141,100.0,100.0
8-302,17.831534444444443,9.213284999999999,30.44612857142857,21.41336,10.033177499999999,100.0,100.0
8-302,17.831534444444443,9.213284999999999,24.184385714285714,21.41336,10.033177499999999,100.0,100.0
8-302,17.831534444444443,9.213284999999999,24.184385714285714,20.376057142857146,10.033177499999999,100.0,100.0
8-302,16.113167777777775,9.213284999999999,26.1169,20.040866666666666,10.037917142857141,100.0,100.0
8-302,16.113167777777775,7.830724444444444,26.1169,20.040866666666666,10.037917142857141,100.0,100.0
8-302,16.113167777777775,7.830724444444444,26.1169,20.040866666666666,9.8806525,100.0,100.0
8-302,19.458177777777777,7.816655000000001,20.09346,20.040866666666666,9.8806525,100.0,100.0
8-302,19.9093375,8.530694285714286,21.154600000000002,20.040866666666666,9.863602857142856,100.0,100.0
8-302,19.9093375,8.530694285714286,21.154600000000002,20.9794,9.863602857142856,100.0,100.0
8-302,22.032477777777775,8.530694285714286,21.154600000000002,20.9794,9.863602857142856,100.0,100.0
